Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,22.7,13.9,58,645,144,515,270,3.6,9
1,1,15,22.0,14.7,63,579,161,448,270,2.2,9
1,1,16,21.0,15.0,69,472,154,367,135,1.9,9
1,1,17,19.0,16.1,83,331,108,275,135,1.0,9
1,1,18,18.7,16.1,85,181,47,165,135,1.2,9
1,1,19,17.6,16.5,93,59,12,57,0,0.0,9
1,1,20,17.4,16.3,93,3,1,2,0,0.0,9
1,1,21,16.1,16.1,100,0,0,0,0,0.0,9
1,1,22,15.6,15.6,100,0,0,0,0,0.0,9
1,1,23,15.4,15.4,100,0,0,0,0,0.0,9
1,1,24,15.3,15.2,99,0,0,0,0,0.0,9
1,2,1,15.2,14.3,94,0,0,0,0,0.0,9
1,2,2,15.0,13.5,91,0,0,0,0,0.0,9
1,2,3,15.2,13.1,87,0,0,0,0,0.0,9
1,2,4,15.4,13.1,86,0,0,0,0,0.0,9
1,2,5,15.8,13.2,85,2,1,2,0,0.0,9
1,2,6,16.3,13.7,85,51,6,50,0,0.0,8
1,2,7,17.1,14.3,84,157,23,149,270,2.6,8
1,2,8,17.9,15.2,84,289,51,262,270,4.1,8
1,2,9,18.9,15.5,81,415,74,365,270,4.1,6
1,2,10,19.8,15.8,78,514,80,449,248,4.5,6
1,2,11,20.9,15.5,71,577,73,511,248,5.1,9
1,2,12,21.3,15.3,69,606,65,544,248,4.7,9
1,2,13,21.7,14.9,65,606,65,545,180,4.5,9
1,2,14,21.2,14.3,65,577,72,512,180,3.6,9
1,2,15,21.7,14.2,62,514,78,451,180,3.7,8
1,2,16,21.3,14.0,63,415,72,366,180,3.3,8
1,2,17,21.3,14.6,66,289,49,263,180,2.6,8
1,2,18,20.0,14.5,71,157,22,149,180,2.9,8
1,2,19,19.2,14.9,76,51,6,50,180,2.8,8
1,2,20,18.1,15.2,83,2,1,2,180,4.1,8
1,2,21,17.6,15.8,89,0,0,0,180,2.8,6
1,2,22,16.9,15.9,94,0,0,0,225,2.6,6
1,2,23,16.4,15.8,96,0,0,0,225,1.5,6
1,2,24,16.0,15.6,97,0,0,0,225,1.6,6
1,3,1,15.7,15.2,97,0,0,0,0,0.0,6
1,3,2,15.9,14.5,91,0,0,0,0,0.0,10
1,3,3,15.5,14.0,91,0,0,0,0,0.0,10
1,3,4,15.7,13.6,87,0,0,0,0,0.0,10
1,3,5,15.6,13.6,88,1,0,1,0,0.0,10
1,3,6,16.2,13.2,82,15,0,15,0,0.0,10
1,3,7,16.5,13.4,82,50,0,50,0,0.0,10
1,3,8,16.8,13.7,82,102,1,102,0,0.0,10
1,3,9,17.1,14.5,85,164,1,163,0,0.0,10
1,3,10,17.2,14.9,86,224,1,223,158,1.3,10
1,3,11,17.8,15.2,85,272,2,270,158,2.1,10
1,3,12,17.3,15.6,90,298,2,297,158,2.5,10
1,3,13,17.2,15.7,91,298,2,297,180,2.9,10
1,3,14,16.3,16.1,99,272,2,270,180,2.1,10
1,3,15,17.0,15.4,90,224,1,223,180,2.8,10
1,3,16,17.0,15.3,90,164,1,163,180,2.4,10
1,3,17,17.6,14.6,83,102,1,102,180,3.1,9
1,3,18,17.1,14.6,85,50,0,50,180,1.4,9
1,3,19,17.0,14.4,85,15,0,15,0,0.0,8
1,3,20,17.0,14.0,82,1,0,1,0,0.0,8
1,3,21,16.7,14.0,84,0,0,0,0,0.0,8
1,3,22,16.3,13.9,86,0,0,0,270,0.5,8
1,3,23,15.7,13.5,87,0,0,0,270,0.5,8
1,3,24,15.4,12.9,85,0,0,0,270,0.8,8
1,4,1,14.7,12.7,88,0,0,0,270,1.5,8
1,4,2,14.2,11.5,84,0,0,0,270,2.6,8
1,4,3,13.5,12.5,94,0,0,0,270,3.0,8
1,4,4,13.4,12.4,94,0,0,0,270,3.7,8
1,4,5,13.9,12.2,89,2,1,2,270,3.6,9
1,4,6,14.2,12.0,87,43,3,42,270,4.6,9
1,4,7,15.1,11.7,80,134,11,131,270,5.0,9
1,4,8,15.4,12.0,80,250,24,238,270,5.7,9
1,4,9,17.6,11.3,67,364,35,340,270,5.7,9
1,4,10,18.9,11.2,61,455,39,423,203,6.1,9
1,4,11,21.0,10.0,49,515,37,482,203,6.7,9
1,4,12,20.5,10.9,54,543,34,511,203,7.0,9
1,4,13,20.6,10.9,54,543,33,512,180,7.3,9
1,4,14,19.5,11.5,60,515,36,482,180,6.7,9
1,4,15,19.7,11.1,58,455,38,424,180,7.3,9
1,4,16,18.8,11.3,62,364,34,341,203,6.8,9
1,4,17,18.0,11.8,67,250,23,238,203,7.2,9
1,4,18,16.8,11.8,72,134,11,131,203,5.3,9
1,4,19,15.9,12.0,78,43,3,42,248,4.4,9
1,4,20,15.5,11.8,79,2,1,2,248,2.6,9
1,4,21,14.7,12.3,86,0,0,0,248,3.3,8
1,4,22,14.3,12.3,88,0,0,0,270,3.3,6
1,4,23,14.1,12.3,89,0,0,0,270,4.1,6
1,4,24,14.2,12.2,88,0,0,0,270,4.1,6
1,5,1,14.0,12.0,88,0,0,0,270,4.8,8
1,5,2,13.7,12.2,91,0,0,0,270,6.2,10
1,5,3,13.6,11.8,89,0,0,0,270,6.0,10
1,5,4,13.5,11.8,89,0,0,0,270,6.4,10
1,5,5,13.6,11.7,88,2,1,2,270,5.1,10
1,5,6,13.7,12.3,91,61,17,58,270,6.4,10
1,5,7,14.2,12.7,91,191,70,167,270,6.1,10
1,5,8,15.0,13.6,91,350,160,266,270,6.7,10
1,5,9,16.2,13.5,84,498,223,346,270,5.4,6
1,5,10,17.5,13.8,79,610,229,425,270,5.3,6
1,5,11,19.2,13.2,68,678,201,496,270,5.7,8
1,5,12,19.9,13.9,68,708,175,541,270,5.6,8
1,5,13,20.6,13.8,65,708,175,541,270,6.1,8
1,5,14,20.0,14.4,70,678,198,498,270,5.1,8
1,5,15,20.7,13.5,63,610,225,428,270,7.4,5
1,5,16,20.1,13.2,64,498,218,350,270,8.0,6
1,5,17,20.1,12.5,62,350,155,269,270,10.3,4
1,5,18,18.2,12.5,69,191,67,168,270,8.7,6
1,5,19,17.2,12.0,71,61,16,59,270,8.8,6
1,5,20,16.0,11.4,74,2,1,2,270,7.7,6
1,5,21,15.5,11.5,77,0,0,0,270,8.5,6
1,5,22,14.9,11.4,80,0,0,0,270,8.3,6
1,5,23,14.5,11.0,79,0,0,0,270,7.7,6
1,5,24,14.3,10.5,78,0,0,0,270,7.8,6
1,6,1,14.2,10.4,78,0,0,0,270,7.5,6
1,6,2,14.3,10.2,76,0,0,0,270,8.8,5
1,6,3,13.9,10.6,80,0,0,0,270,7.2,5
1,6,4,13.8,10.8,82,0,0,0,270,7.3,5
1,6,5,13.6,10.8,83,3,1,3,270,6.7,4
1,6,6,13.9,10.8,82,92,67,67,270,8.1,5
1,6,7,14.2,10.8,80,287,573,93,270,8.8,5
1,6,8,14.6,10.8,78,518,874,69,270,9.3,9
1,6,9,15.5,10.1,70,727,976,66,270,10.4,4
1,6,10,16.4,9.5,64,874,970,88,270,11.3,4
1,6,11,17.7,8.5,55,956,911,131,270,12.9,5
1,6,12,18.0,8.3,53,989,854,173,270,12.8,4
1,6,13,18.5,7.6,49,989,854,174,270,13.3,3
1,6,14,18.1,7.4,50,956,909,133,270,12.9,4
1,6,15,18.3,6.9,47,874,967,90,270,13.3,4
1,6,16,17.7,6.7,48,727,973,68,270,12.8,4
1,6,17,17.1,6.7,50,518,868,72,270,12.4,5
1,6,18,16.0,6.7,54,287,562,97,270,11.0,5
1,6,19,15.1,6.9,58,92,67,68,270,9.9,5
1,6,20,14.5,6.9,60,3,1,3,270,8.2,3
1,6,21,13.7,7.2,65,0,0,0,270,7.8,6
1,6,22,13.3,7.4,67,0,0,0,270,6.9,6
1,6,23,13.1,7.6,69,0,0,0,270,6.7,6
1,6,24,13.2,7.9,70,0,0,0,270,5.7,6
1,7,1,13.2,8.3,72,0,0,0,270,5.3,6
1,7,2,13.5,8.9,74,0,0,0,270,5.1,6
1,7,3,13.0,9.3,78,0,0,0,270,4.6,6
1,7,4,13.0,9.9,81,0,0,0,293,4.3,5
1,7,5,12.6,9.5,81,3,1,2,293,3.1,5
1,7,6,13.5,10.5,82,88,66,67,293,4.2,5
1,7,7,14.1,10.7,80,276,503,106,270,4.4,5
1,7,8,15.5,11.6,78,501,808,86,270,6.2,8
1,7,9,16.5,10.3,67,703,916,84,270,5.4,4
1,7,10,17.9,9.9,59,847,910,111,270,6.1,4
1,7,11,19.3,8.3,49,928,848,161,270,6.2,6
1,7,12,20.5,8.9,47,960,789,208,270,7.5,4
1,7,13,21.3,8.5,44,960,788,209,270,8.1,4
1,7,14,21.4,8.7,44,928,845,163,270,7.7,8
1,7,15,21.3,8.1,43,847,907,113,270,8.3,4
1,7,16,20.5,8.1,45,703,912,87,248,7.8,5
1,7,17,19.6,8.1,47,501,801,89,248,8.2,5
1,7,18,17.9,7.8,52,276,493,109,248,6.0,5
1,7,19,16.4,7.9,57,88,66,68,248,4.8,6
1,7,20,14.8,7.6,62,3,1,2,248,3.1,6
1,7,21,14.0,8.1,68,0,0,0,248,2.4,6
1,7,22,13.2,8.1,71,0,0,0,0,0.0,6
1,7,23,12.8,8.3,74,0,0,0,0,0.0,6
1,7,24,12.4,8.5,77,0,0,0,0,0.0,6
1,8,1,12.4,8.7,78,0,0,0,0,0.0,8
1,8,2,12.5,9.1,80,0,0,0,0,0.0,10
1,8,3,12.6,9.3,80,0,0,0,0,0.0,8
1,8,4,12.7,9.5,81,0,0,0,0,0.0,9
1,8,5,12.6,9.5,81,1,0,1,0,0.0,9
1,8,6,13.0,9.5,79,18,0,18,0,0.0,9
1,8,7,13.3,9.5,78,61,1,61,0,0.0,9
1,8,8,13.9,9.5,75,123,1,122,0,0.0,10
1,8,9,14.2,9.1,71,192,2,191,0,0.0,10
1,8,10,14.8,9.0,68,257,2,255,90,2.0,10
1,8,11,15.4,8.3,63,307,3,304,90,3.6,10
1,8,12,16.0,9.2,64,334,3,331,90,3.3,10
1,8,13,16.4,9.5,64,334,3,331,113,4.0,10
1,8,14,16.5,10.9,69,307,3,304,113,4.6,10
1,8,15,16.4,11.1,71,257,2,255,113,5.4,10
1,8,16,16.0,11.9,77,192,2,191,135,6.0,10
1,8,17,15.2,12.6,84,123,1,122,135,5.7,10
1,8,18,14.7,13.3,91,61,1,61,135,6.7,10
1,8,19,14.1,13.6,97,18,0,18,113,6.8,10
1,8,20,14.1,13.3,95,1,0,1,113,7.7,10
1,8,21,13.1,13.1,100,0,0,0,113,6.5,10
1,8,22,13.0,13.0,100,0,0,0,113,6.2,10
1,8,23,13.1,13.1,100,0,0,0,113,5.1,10
1,8,24,13.8,13.0,95,0,0,0,113,5.5,10
1,9,1,14.0,12.8,92,0,0,0,135,5.3,10
1,9,2,14.8,13.1,90,0,0,0,135,5.1,10
1,9,3,14.5,12.8,90,0,0,0,135,5.0,10
1,9,4,14.8,13.1,90,0,0,0,113,5.0,10
1,9,5,14.8,12.8,88,0,0,0,113,5.1,10
1,9,6,15.4,13.5,88,16,0,16,113,5.4,10
1,9,7,15.9,13.5,86,57,1,57,113,5.8,10
1,9,8,16.3,13.3,82,116,1,115,113,6.7,10
1,9,9,17.0,13.0,77,183,2,182,113,7.0,9
1,9,10,17.6,12.5,72,246,2,244,113,7.7,9
1,9,11,18.5,12.5,68,295,2,293,113,8.2,9
1,9,12,18.5,11.5,64,322,3,320,113,8.7,9
1,9,13,18.6,11.1,62,322,3,320,135,8.8,9
1,9,14,18.2,10.4,60,295,2,293,135,8.2,9
1,9,15,18.1,10.7,62,246,2,245,135,8.2,9
1,9,16,17.6,10.9,65,183,2,182,90,7.5,9
1,9,17,16.8,11.5,71,116,1,115,90,7.2,9
1,9,18,16.4,11.6,73,57,1,57,90,5.9,9
1,9,19,15.9,12.0,78,16,0,16,90,5.1,9
1,9,20,16.3,12.0,76,0,0,0,90,4.6,9
1,9,21,15.4,12.3,82,0,0,0,90,4.0,8
1,9,22,15.2,12.3,83,0,0,0,135,3.6,6
1,9,23,15.2,12.2,82,0,0,0,135,2.6,6
1,9,24,15.6,12.0,79,0,0,0,135,3.0,6
1,10,1,15.4,11.8,79,0,0,0,113,2.8,6
1,10,2,15.2,11.5,79,0,0,0,113,3.1,10
1,10,3,14.7,12.0,84,0,0,0,113,1.9,8
1,10,4,14.5,12.1,86,0,0,0,0,0.0,8
1,10,5,14.7,12.8,88,1,0,1,0,0.0,9
1,10,6,14.6,12.8,89,29,1,29,0,0.0,9
1,10,7,15.0,13.1,88,96,3,95,0,0.0,9
1,10,8,15.4,13.6,89,185,6,182,315,1.0,10
1,10,9,16.7,13.6,82,277,9,271,315,0.6,9
1,10,10,17.8,13.4,75,355,11,347,158,1.5,9
1,10,11,18.7,12.6,68,410,11,401,158,1.5,9
1,10,12,19.5,13.0,66,438,10,428,158,3.7,9
1,10,13,20.0,12.8,63,438,10,428,158,4.7,9
1,10,14,20.6,13.3,63,410,11,401,158,6.2,9
1,10,15,19.8,12.4,62,355,10,347,158,5.6,9
1,10,16,19.1,12.6,66,277,9,271,158,5.3,9
1,10,17,17.7,12.4,71,185,6,182,158,4.1,9
1,10,18,17.4,13.3,77,96,3,95,158,3.8,9
1,10,19,16.5,13.7,84,29,1,29,158,2.9,8
1,10,20,16.1,14.0,87,1,0,1,158,2.6,8
1,10,21,15.1,14.4,96,0,0,0,158,1.4,8
1,10,22,14.7,14.4,98,0,0,0,248,1.1,6
1,10,23,14.4,14.2,99,0,0,0,248,0.5,6
1,10,24,14.4,13.7,96,0,0,0,248,1.3,6
1,11,1,14.1,13.4,96,0,0,0,248,1.8,8
1,11,2,14.2,12.9,92,0,0,0,248,2.6,10
1,11,3,13.7,12.7,94,0,0,0,248,2.6,10
1,11,4,13.6,12.6,94,0,0,0,270,2.9,10
1,11,5,13.7,12.1,90,2,0,2,270,3.1,10
1,11,6,14.3,12.3,88,76,62,65,270,3.2,6
1,11,7,15.0,12.3,84,246,328,137,270,3.5,6
1,11,8,15.7,12.9,83,452,611,141,270,3.6,9
1,11,9,17.2,12.1,72,640,731,149,270,4.7,5
1,11,10,18.4,12.1,67,776,726,190,270,5.7,5
1,11,11,20.1,11.0,56,853,660,258,270,7.2,8
1,11,12,20.3,11.6,57,885,598,316,270,7.9,8
1,11,13,20.7,11.0,54,885,597,317,270,8.9,8
1,11,14,20.2,10.9,55,853,657,261,270,9.3,8
1,11,15,20.5,9.9,51,776,722,194,270,9.8,5
1,11,16,19.9,9.5,51,640,725,153,270,9.6,5
1,11,17,19.4,9.1,51,452,602,145,270,9.3,4
1,11,18,18.1,8.7,54,246,318,140,270,7.9,5
1,11,19,17.3,8.7,57,76,65,65,248,6.8,6
1,11,20,16.4,8.9,61,2,0,2,248,5.1,6
1,11,21,15.8,9.1,64,0,0,0,248,4.9,6
1,11,22,15.2,9.7,70,0,0,0,270,4.3,6
1,11,23,14.7,10.3,75,0,0,0,270,4.6,6
1,11,24,14.5,11.1,80,0,0,0,270,3.9,6
1,12,1,13.9,11.4,85,0,0,0,293,3.7,6
1,12,2,13.8,12.1,89,0,0,0,293,3.6,3
1,12,3,12.7,11.6,93,0,0,0,293,3.2,5
1,12,4,12.4,11.4,94,0,0,0,293,2.8,5
1,12,5,11.8,10.9,94,2,0,2,293,1.5,5
1,12,6,12.7,10.7,88,83,61,63,293,1.8,5
1,12,7,13.5,10.1,80,270,503,104,248,1.3,5
1,12,8,15.0,9.7,71,496,812,83,248,2.1,5
1,12,9,15.9,8.5,61,699,921,81,248,1.2,4
1,12,10,17.2,7.9,54,845,915,108,158,1.5,4
1,12,11,18.2,6.2,45,926,853,157,158,1.5,6
1,12,12,19.0,6.9,45,958,794,203,158,2.8,6
1,12,13,19.4,6.9,44,958,794,204,90,3.6,6
1,12,14,18.9,8.5,51,926,851,159,90,4.1,6
1,12,15,18.8,7.8,49,845,913,110,90,4.6,4
1,12,16,18.1,8.5,53,699,917,84,113,4.8,4
1,12,17,18.0,8.7,55,496,805,86,113,5.1,4
1,12,18,16.5,9.7,64,270,492,107,113,4.1,5
1,12,19,15.8,10.1,69,83,61,64,113,3.4,6
1,12,20,14.7,9.5,71,2,0,2,113,2.1,6
1,12,21,14.5,10.1,75,0,0,0,113,1.9,6
1,12,22,13.8,9.7,76,0,0,0,23,1.2,6
1,12,23,13.0,9.3,78,0,0,0,23,1.0,6
1,12,24,12.0,8.5,79,0,0,0,23,0.4,6
1,13,1,11.0,8.0,82,0,0,0,0,0.0,5
1,13,2,10.6,8.5,87,0,0,0,0,0.0,0
1,13,3,9.0,7.6,91,0,0,0,0,0.0,0
1,13,4,8.6,8.0,96,0,0,0,0,0.0,0
1,13,5,7.9,7.3,96,2,0,1,0,0.0,0
1,13,6,9.7,9.2,97,88,59,60,0,0.0,0
1,13,7,11.4,9.8,90,287,641,77,270,1.1,0
1,13,8,14.2,11.1,82,528,941,52,270,2.1,0
1,13,9,16.5,10.6,68,745,1040,48,270,2.2,0
1,13,10,19.4,10.6,57,897,1034,65,270,2.8,0
1,13,11,22.0,10.0,46,981,979,101,270,2.6,0
1,13,12,24.2,10.3,41,1014,926,136,270,3.5,0
1,13,13,25.6,10.3,38,1014,925,136,270,3.6,0
1,13,14,26.2,10.9,38,981,977,102,270,3.6,0
1,13,15,25.8,10.9,39,897,1032,67,270,3.7,3
1,13,16,24.8,11.6,44,745,1037,50,90,3.9,3
1,13,17,23.2,12.4,51,528,937,54,90,5.7,1
1,13,18,21.9,13.0,57,287,631,80,90,4.7,5
1,13,19,20.4,13.7,65,88,59,61,90,5.4,6
1,13,20,19.2,13.2,68,2,0,1,90,3.6,9
1,13,21,18.1,13.8,76,0,0,0,90,7.2,8
1,13,22,17.4,13.5,78,0,0,0,248,8.0,8
1,13,23,16.8,12.8,77,0,0,0,248,11.3,8
1,13,24,16.2,11.5,74,0,0,0,248,8.9,8
1,14,1,15.7,10.2,70,0,0,0,270,8.9,6
1,14,2,14.6,9.2,70,0,0,0,270,6.7,5
1,14,3,14.6,8.6,67,0,0,0,270,7.9,5
1,14,4,14.1,8.2,68,0,0,0,270,7.2,4
1,14,5,14.2,7.8,65,2,0,1,270,7.7,3
1,14,6,13.9,8.4,69,86,58,59,270,6.1,4
1,14,7,14.4,8.9,70,284,623,80,270,5.9,4
1,14,8,15.4,9.7,69,522,927,55,270,5.1,6
1,14,9,16.6,9.1,61,738,1027,51,270,6.4,4
1,14,10,18.0,8.7,55,890,1022,69,248,6.9,4
1,14,11,19.2,7.6,47,973,965,106,248,8.2,8
1,14,12,20.5,7.2,42,1006,911,142,248,7.8,4
1,14,13,21.2,6.2,38,1006,911,143,270,7.8,3
1,14,14,21.0,6.0,38,973,964,107,270,7.2,3
1,14,15,21.4,5.0,34,890,1019,71,270,6.9,3
1,14,16,20.9,5.2,36,738,1024,53,248,5.9,3
1,14,17,21.4,5.2,35,522,922,57,248,4.6,1
1,14,18,19.4,7.4,46,284,613,83,248,3.5,1
1,14,19,18.5,8.7,53,86,58,61,203,2.3,1
1,14,20,16.7,10.3,66,2,0,1,203,1.5,1
1,14,21,16.9,10.5,66,0,0,0,203,0.7,6
1,14,22,16.0,10.9,72,0,0,0,0,0.0,6
1,14,23,14.9,10.9,77,0,0,0,0,0.0,6
1,14,24,13.5,10.5,82,0,0,0,0,0.0,6
1,15,1,12.3,10.0,86,0,0,0,0,0.0,5
1,15,2,12.4,8.5,77,0,0,0,0,0.0,0
1,15,3,10.3,8.1,86,0,0,0,0,0.0,0
1,15,4,9.8,7.4,85,0,0,0,0,0.0,0
1,15,5,8.0,7.2,95,1,0,1,0,0.0,0
1,15,6,10.6,7.4,81,86,57,58,0,0.0,0
1,15,7,11.9,8.1,78,286,655,74,270,1.7,0
1,15,8,14.7,10.2,74,529,955,48,270,2.6,0
1,15,9,16.2,9.4,64,747,1053,45,270,2.9,1
1,15,10,18.6,10.0,57,901,1048,61,270,3.6,1
1,15,11,21.5,8.3,43,986,993,94,270,4.6,1
1,15,12,22.4,10.7,47,1019,940,128,270,4.8,1
1,15,13,23.4,10.7,45,1019,940,129,113,5.3,1
1,15,14,22.4,11.9,51,986,991,96,113,5.1,1
1,15,15,23.0,10.9,46,901,1046,62,113,5.7,1
1,15,16,21.8,11.1,51,747,1051,46,135,5.5,1
1,15,17,20.5,11.2,55,529,951,51,135,5.1,1
1,15,18,18.7,11.6,63,286,645,77,135,4.3,4
1,15,19,17.4,11.8,70,86,57,59,90,3.4,5
1,15,20,17.2,11.5,69,1,0,1,90,2.6,5
1,15,21,15.8,12.1,79,0,0,0,90,1.5,6
1,15,22,15.7,12.0,79,0,0,0,0,0.0,6
1,15,23,15.8,11.5,76,0,0,0,0,0.0,8
1,15,24,16.2,10.5,69,0,0,0,0,0.0,8
1,16,1,16.5,10.4,67,0,0,0,0,0.0,8
1,16,2,15.6,9.8,68,0,0,0,293,0.5,9
1,16,3,16.2,10.1,67,0,0,0,293,0.4,6
1,16,4,15.7,10.1,69,0,0,0,0,0.0,6
1,16,5,15.8,10.4,70,1,0,1,0,0.0,8
1,16,6,14.4,10.4,77,67,51,59,0,0.0,6
1,16,7,14.1,10.4,78,229,257,145,225,3.4,6
1,16,8,14.4,10.2,76,427,515,167,225,7.2,10
1,16,9,14.8,9.6,71,608,638,183,225,5.1,6
1,16,10,15.8,8.8,63,740,635,232,270,5.9,5
1,16,11,16.4,7.7,56,816,570,306,270,4.1,9
1,16,12,18.2,5.8,44,848,511,364,270,7.1,5
1,16,13,19.2,4.0,37,848,510,366,248,7.6,5
1,16,14,19.9,1.5,29,816,566,309,248,8.2,4
1,16,15,19.7,0.5,28,740,630,236,248,8.2,4
1,16,16,19.2,-0.6,26,608,631,188,270,8.2,4
1,16,17,18.6,-1.0,26,427,506,171,270,9.8,1
1,16,18,16.7,-0.9,30,229,248,147,270,7.8,1
1,16,19,15.2,-0.2,35,67,49,60,248,7.3,1
1,16,20,13.3,1.9,46,1,0,1,248,5.1,1
1,16,21,12.7,2.2,49,0,0,0,248,5.9,5
1,16,22,11.8,3.1,55,0,0,0,293,5.1,6
1,16,23,11.3,4.0,61,0,0,0,293,4.1,6
1,16,24,10.7,5.1,68,0,0,0,293,3.6,6
1,17,1,10.7,5.6,71,0,0,0,293,3.0,8
1,17,2,11.2,5.9,70,0,0,0,293,4.6,10
1,17,3,11.2,6.3,72,0,0,0,293,3.0,8
1,17,4,11.4,6.6,72,0,0,0,248,3.5,8
1,17,5,10.6,7.5,81,1,0,1,248,3.1,8
1,17,6,11.9,7.5,74,64,44,58,248,5.4,8
1,17,7,12.4,7.8,73,221,220,149,270,6.5,8
1,17,8,14.5,7.8,64,414,459,183,270,7.2,8
1,17,9,14.0,8.2,68,591,580,206,270,8.8,5
1,17,10,15.2,8.2,63,721,578,259,270,9.7,5
1,17,11,15.2,8.2,63,796,515,335,270,11.8,9
1,17,12,17.9,7.7,51,828,459,394,270,10.7,5
1,17,13,19.0,7.3,47,828,458,395,248,10.8,5
1,17,14,20.5,7.0,42,796,512,338,248,9.3,8
1,17,15,20.1,6.8,42,721,572,264,248,10.1,5
1,17,16,19.9,6.6,42,591,572,211,270,9.4,5
1,17,17,19.2,6.6,44,414,450,188,270,9.8,4
1,17,18,18.0,6.8,48,221,212,152,270,7.7,5
1,17,19,16.7,7.0,53,64,42,58,270,6.8,5
1,17,20,15.1,7.5,60,1,0,1,270,4.1,1
1,17,21,14.4,8.0,65,0,0,0,270,5.2,5
1,17,22,13.6,8.2,70,0,0,0,248,4.6,5
1,17,23,13.1,8.4,73,0,0,0,248,6.2,6
1,17,24,13.1,8.0,71,0,0,0,248,3.7,6
1,18,1,13.1,8.2,72,0,0,0,270,3.5,6
1,18,2,13.3,8.2,71,0,0,0,270,2.6,9
1,18,3,13.1,8.8,75,0,0,0,270,3.5,9
1,18,4,13.1,9.0,76,0,0,0,270,3.5,9
1,18,5,13.1,8.8,75,1,0,1,270,2.6,9
1,18,6,13.3,8.8,74,73,53,58,270,3.4,9
1,18,7,13.7,8.4,70,252,437,112,270,3.2,9
1,18,8,14.5,7.7,64,472,750,98,270,4.1,9
1,18,9,15.5,7.3,58,673,867,97,270,2.9,4
1,18,10,16.7,6.8,52,816,862,127,248,2.8,4
1,18,11,17.8,7.0,49,896,798,182,248,3.1,8
1,18,12,19.0,6.8,45,929,737,232,248,3.0,3
1,18,13,19.8,7.0,43,929,736,233,113,3.2,3
1,18,14,20.1,7.9,45,896,795,185,113,2.1,1
1,18,15,19.8,8.3,47,816,859,130,113,3.8,4
1,18,16,19.1,8.8,51,673,863,100,135,4.1,5
1,18,17,18.4,8.5,52,472,743,101,135,5.1,8
1,18,18,16.9,9.6,62,252,426,115,135,3.9,6
1,18,19,15.8,9.8,67,73,53,59,90,3.5,6
1,18,20,14.4,10.0,75,1,0,1,90,3.1,9
1,18,21,13.9,9.8,76,0,0,0,90,2.3,6
1,18,22,13.2,9.8,80,0,0,0,68,1.6,6
1,18,23,12.7,9.8,82,0,0,0,68,0.5,6
1,18,24,12.5,9.2,80,0,0,0,68,0.6,6
1,19,1,12.0,9.2,83,0,0,0,0,0.0,5
1,19,2,12.2,9.4,83,0,0,0,0,0.0,3
1,19,3,10.9,9.6,92,0,0,0,0,0.0,5
1,19,4,10.6,9.8,95,0,0,0,0,0.0,5
1,19,5,9.9,9.0,94,1,0,0,0,0.0,5
1,19,6,11.3,10.0,92,78,51,55,0,0.0,4
1,19,7,12.7,10.0,84,272,599,82,0,0.0,4
1,19,8,15.0,10.5,74,510,911,57,0,0.0,4
1,19,9,17.6,10.0,61,725,1015,53,0,0.0,4
1,19,10,20.7,10.2,51,877,1010,72,0,0.0,4
1,19,11,24.1,12.1,47,961,953,110,0,0.0,4
1,19,12,26.5,11.8,40,994,898,147,0,0.0,3
1,19,13,28.4,13.1,39,994,897,147,68,2.3,3
1,19,14,29.0,11.1,33,961,951,111,68,2.1,3
1,19,15,29.1,15.6,44,877,1008,74,68,4.5,4
1,19,16,28.0,16.5,50,725,1012,55,90,5.2,4
1,19,17,26.2,20.1,69,510,906,59,90,7.7,6
1,19,18,24.2,17.3,65,272,589,85,90,5.6,6
1,19,19,22.1,17.1,73,78,51,56,68,5.1,6
1,19,20,20.5,13.7,65,1,0,0,68,3.6,8
1,19,21,19.3,15.4,78,0,0,0,68,3.4,6
1,19,22,18.6,14.2,76,0,0,0,113,2.3,6
1,19,23,18.4,13.2,72,0,0,0,113,0.5,6
1,19,24,18.2,11.9,67,0,0,0,113,0.7,6
1,20,1,18.1,12.1,68,0,0,0,0,0.0,6
1,20,2,17.7,13.7,77,0,0,0,0,0.0,9
1,20,3,17.7,13.8,78,0,0,0,0,0.0,8
1,20,4,17.4,15.0,86,0,0,0,0,0.0,8
1,20,5,18.0,14.7,81,0,0,0,0,0.0,10
1,20,6,18.1,16.5,90,49,15,47,0,0.0,10
1,20,7,19.4,16.5,83,175,66,154,0,0.0,10
1,20,8,21.0,16.8,77,334,157,255,0,0.0,10
1,20,9,24.3,14.7,55,484,223,336,0,0.0,6
1,20,10,27.6,12.9,40,597,230,414,0,0.0,6
1,20,11,31.2,10.2,27,666,202,486,0,0.0,9
1,20,12,34.1,8.4,21,696,177,530,0,0.0,6
1,20,13,36.5,6.1,15,696,176,530,338,5.3,5
1,20,14,38.0,4.9,13,666,200,488,338,10.3,6
1,20,15,38.3,4.3,12,597,226,417,338,6.6,6
1,20,16,37.7,4.9,13,484,218,340,270,6.6,6
1,20,17,36.7,5.6,15,334,152,258,270,4.1,9
1,20,18,34.1,7.1,19,175,63,155,270,5.2,8
