Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,41.6,7.6,13,928,848,160,248,2.9,4
1,1,15,41.0,9.0,15,641,563,195,248,2.6,6
1,1,16,41.6,7.8,13,463,424,197,248,2.3,6
1,1,17,40.9,8.2,14,260,423,104,90,2.3,6
1,1,18,40.1,8.2,15,108,191,57,90,2.6,5
1,1,19,38.4,9.4,17,10,9,9,90,2.8,5
1,1,20,36.9,10.1,20,0,0,0,135,3.3,5
1,1,21,36.0,9.9,21,0,0,0,135,3.1,5
1,1,22,33.6,11.5,26,0,0,0,135,4.4,8
1,1,23,31.8,12.0,30,0,0,0,158,5.0,8
1,1,24,28.9,13.7,39,0,0,0,158,6.7,6
1,2,1,28.0,13.1,40,0,0,0,158,5.7,6
1,2,2,26.1,13.4,45,0,0,0,158,5.9,6
1,2,3,24.9,12.7,47,0,0,0,158,5.1,6
1,2,4,23.0,13.3,54,0,0,0,158,5.9,6
1,2,5,22.1,13.1,57,15,68,10,158,5.9,6
1,2,6,21.9,13.3,58,180,508,69,158,5.7,4
1,2,7,22.3,13.2,56,365,624,98,158,5.5,5
1,2,8,23.5,13.2,52,559,594,213,158,5.2,5
1,2,9,25.4,13.5,48,298,29,276,158,5.1,8
1,2,10,27.6,13.3,41,612,289,351,158,4.4,4
1,2,11,30.1,13.3,36,1067,968,120,158,4.1,3
1,2,12,31.9,13.0,32,1088,979,105,158,4.1,1
1,2,13,34.6,13.1,27,1046,967,100,158,3.7,3
1,2,14,36.2,13.0,25,949,952,96,158,3.8,4
1,2,15,37.8,12.8,23,814,914,113,158,3.1,5
1,2,16,37.3,12.3,22,537,621,164,158,4.4,4
1,2,17,36.9,12.2,23,395,724,99,135,4.8,5
1,2,18,35.7,12.0,24,175,448,76,135,6.2,6
1,2,19,34.5,12.0,26,22,46,19,135,5.8,5
1,2,20,32.8,12.2,29,0,0,0,158,6.2,6
1,2,21,30.9,12.5,32,0,0,0,158,6.2,4
1,2,22,29.1,12.7,36,0,0,0,158,6.5,8
1,2,23,27.2,13.2,42,0,0,0,158,6.4,8
1,2,24,25.1,13.5,49,0,0,0,158,5.7,8
1,3,1,23.7,13.9,54,0,0,0,158,5.8,8
1,3,2,22.3,14.0,59,0,0,0,135,5.7,8
1,3,3,21.7,14.0,62,0,0,0,135,6.2,9
1,3,4,20.3,14.5,69,0,0,0,135,5.5,9
1,3,5,19.9,14.8,72,8,2,8,135,5.4,9
1,3,6,19.2,15.9,81,50,44,38,135,4.6,9
1,3,7,20.6,15.6,73,319,266,223,135,5.2,8
1,3,8,21.8,16.0,70,480,244,324,135,5.0,6
1,3,9,23.9,15.7,60,612,440,258,135,5.1,8
1,3,10,25.7,16.5,57,745,432,352,135,4.4,5
1,3,11,27.9,16.5,50,938,658,294,113,4.1,5
1,3,12,30.3,16.2,43,813,331,474,113,4.1,9
1,3,13,31.9,15.8,38,525,65,461,113,3.9,6
1,3,14,33.2,15.4,34,525,138,399,135,4.0,8
1,3,15,33.5,15.7,34,555,325,310,135,3.6,8
1,3,16,33.8,14.9,32,314,128,240,135,4.5,9
1,3,17,33.1,15.0,34,153,2,152,135,4.9,9
1,3,18,32.0,15.0,36,31,0,31,135,5.7,9
1,3,19,30.7,16.4,42,3,0,3,135,5.6,9
1,3,20,29.2,17.2,48,0,0,0,113,5.8,9
1,3,21,28.1,18.2,55,0,0,0,113,6.2,9
1,3,22,26.5,19.0,63,0,0,0,113,5.8,9
1,3,23,25.3,19.5,70,0,0,0,68,5.7,9
1,3,24,24.1,19.9,77,0,0,0,68,4.6,9
1,4,1,23.5,19.6,79,0,0,0,68,5.5,9
1,4,2,22.4,19.3,83,0,0,0,135,5.6,9
1,4,3,21.2,18.9,87,0,0,0,135,6.7,9
1,4,4,20.2,18.2,88,0,0,0,135,6.1,9
1,4,5,19.4,17.8,90,1,1,1,113,6.4,9
1,4,6,19.7,17.0,84,16,2,15,113,6.2,9
1,4,7,19.1,16.9,87,36,2,35,113,6.9,9
1,4,8,19.7,16.7,83,85,2,84,113,6.8,9
1,4,9,20.3,16.6,79,171,3,170,113,6.7,9
1,4,10,22.5,16.4,68,323,15,311,113,6.2,6
1,4,11,24.4,16.3,61,901,416,486,113,5.7,6
1,4,12,26.4,16.3,54,869,376,485,113,5.1,8
1,4,13,28.1,15.9,47,758,396,371,113,4.8,6
1,4,14,29.5,15.7,43,527,154,385,113,4.6,6
1,4,15,30.0,16.0,43,469,160,350,113,5.1,6
1,4,16,30.4,16.0,42,570,413,316,113,4.9,8
1,4,17,29.9,16.5,44,151,73,115,90,5.2,9
1,4,18,30.3,16.2,43,8,2,7,90,5.1,8
1,4,19,27.5,18.1,57,0,0,0,90,6.0,9
1,4,20,26.0,19.0,65,0,0,0,180,6.2,9
1,4,21,22.4,20.5,89,0,0,0,180,6.2,9
1,4,22,23.1,20.0,83,0,0,0,180,5.7,9
1,4,23,21.9,20.1,90,0,0,0,135,5.2,9
1,4,24,22.0,19.8,87,0,0,0,135,5.1,9
1,5,1,20.4,19.2,93,0,0,0,135,3.7,9
1,5,2,20.0,18.6,92,0,0,0,158,3.0,9
1,5,3,20.5,17.6,83,0,0,0,158,1.5,9
1,5,4,19.8,17.9,89,0,0,0,158,2.5,9
1,5,5,19.8,17.7,88,0,0,0,113,2.6,9
1,5,6,18.7,18.0,96,18,0,18,113,4.1,9
1,5,7,20.1,18.3,89,27,0,27,113,3.7,9
1,5,8,20.3,19.0,92,42,1,42,90,4.4,9
1,5,9,21.0,19.9,93,170,2,169,90,4.6,9
1,5,10,21.0,20.3,96,101,1,101,90,5.5,9
1,5,11,21.4,20.7,96,63,0,63,68,5.8,9
1,5,12,22.3,20.9,92,406,10,391,68,5.7,9
1,5,13,22.1,21.1,94,178,0,177,68,5.6,10
1,5,14,22.3,21.0,92,238,1,238,45,5.3,10
1,5,15,21.9,20.5,92,159,0,159,45,5.1,10
1,5,16,22.3,20.6,90,140,1,140,45,4.4,10
1,5,17,22.1,20.4,90,167,5,166,45,3.9,10
1,5,18,21.8,20.4,92,44,0,44,45,3.6,9
1,5,19,21.7,20.2,91,4,0,4,45,3.0,9
1,5,20,21.5,20.2,92,0,0,0,0,2.6,9
1,5,21,21.7,20.8,95,0,0,0,0,1.5,9
1,5,22,21.4,20.6,95,0,0,0,0,1.9,8
1,5,23,21.4,20.7,96,0,0,0,23,1.6,8
1,5,24,21.4,20.2,93,0,0,0,23,2.6,8
1,6,1,21.5,20.5,94,0,0,0,23,1.3,8
1,6,2,21.3,20.5,95,0,0,0,158,1.4,9
1,6,3,21.3,20.5,95,0,0,0,158,0.5,9
1,6,4,20.7,20.1,96,0,0,0,158,2.2,9
1,6,5,20.4,19.8,96,5,0,5,158,2.8,10
1,6,6,20.0,19.4,96,31,0,31,158,4.6,10
1,6,7,20.3,19.1,93,115,1,115,158,4.3,10
1,6,8,20.5,18.6,89,232,31,211,158,4.9,10
1,6,9,21.0,18.3,85,271,8,266,158,4.6,10
1,6,10,21.5,18.0,80,284,12,272,158,5.4,8
1,6,11,22.2,17.9,77,581,39,541,135,5.3,8
1,6,12,23.0,17.6,72,595,34,558,135,5.1,8
1,6,13,23.4,17.7,70,433,30,404,135,4.6,8
1,6,14,23.8,17.8,69,663,208,477,158,4.2,8
1,6,15,23.9,18.1,70,286,5,281,158,4.1,9
1,6,16,23.8,17.9,70,312,67,272,158,3.6,9
1,6,17,23.4,17.8,71,124,0,124,135,3.6,9
1,6,18,22.7,17.5,72,52,12,49,135,3.6,9
1,6,19,22.1,17.0,73,9,8,9,135,4.0,8
1,6,20,21.1,16.3,74,0,0,0,158,4.2,8
1,6,21,20.2,15.5,74,0,0,0,158,4.1,1
1,6,22,19.1,14.3,74,0,0,0,158,4.4,6
1,6,23,18.0,13.1,73,0,0,0,158,4.3,6
1,6,24,17.1,11.5,70,0,0,0,158,4.6,6
1,7,1,15.6,11.1,75,0,0,0,158,3.8,6
1,7,2,14.8,10.6,76,0,0,0,158,3.5,8
1,7,3,13.8,11.1,84,0,0,0,158,3.1,8
1,7,4,13.6,10.6,82,0,0,0,158,3.1,8
1,7,5,13.5,11.0,85,8,0,8,180,2.9,8
1,7,6,13.2,11.0,87,62,2,62,180,2.1,9
1,7,7,14.2,11.5,84,157,2,157,180,2.8,8
1,7,8,15.1,11.7,80,373,47,343,158,2.9,8
1,7,9,17.2,11.7,70,651,250,450,158,4.1,8
1,7,10,18.0,11.7,67,671,222,472,158,2.9,8
1,7,11,19.7,11.5,59,742,218,525,158,3.0,8
1,7,12,21.1,11.3,54,857,472,382,158,2.6,8
1,7,13,23.0,11.3,48,1010,767,263,158,3.4,3
1,7,14,24.2,11.1,44,992,1044,67,158,3.7,3
1,7,15,24.7,11.5,44,824,1008,61,158,3.6,1
1,7,16,25.2,11.1,41,624,957,58,158,4.5,1
1,7,17,24.9,10.9,41,396,861,51,135,4.9,1
1,7,18,24.3,10.6,42,168,606,37,135,6.2,1
1,7,19,22.8,10.4,45,12,84,8,135,5.6,5
1,7,20,21.3,10.1,49,0,0,0,158,5.7,5
1,7,21,19.9,9.1,50,0,0,0,158,5.1,0
1,7,22,18.1,9.2,56,0,0,0,158,5.4,6
1,7,23,16.7,8.8,60,0,0,0,158,5.1,6
1,7,24,15.2,8.8,66,0,0,0,158,5.1,6
1,8,1,14.5,8.8,69,0,0,0,158,4.4,6
1,8,2,13.7,8.8,72,0,0,0,135,4.1,6
1,8,3,13.0,9.4,79,0,0,0,135,3.1,6
1,8,4,13.0,8.8,76,0,0,0,135,4.0,6
1,8,5,13.1,8.8,75,15,42,11,135,4.0,6
1,8,6,14.2,8.6,69,162,408,78,135,5.1,3
1,8,7,14.4,9.0,70,188,6,186,135,4.2,5
1,8,8,15.4,9.0,66,309,4,306,135,4.3,5
1,8,9,16.2,8.6,61,544,38,514,135,4.1,9
1,8,10,18.1,8.6,54,845,432,449,135,4.3,4
1,8,11,19.5,8.6,49,1062,974,112,113,4.2,4
1,8,12,21.0,8.6,45,1123,1061,64,113,3.6,1
1,8,13,22.1,8.1,41,1087,1058,63,113,3.8,3
1,8,14,23.1,8.4,39,983,1043,61,135,3.6,1
1,8,15,23.7,8.7,38,825,1016,59,135,3.6,0
1,8,16,24.1,8.7,37,624,964,57,135,3.3,0
1,8,17,24.2,9.1,38,396,869,50,135,3.3,0
1,8,18,24.5,8.9,37,166,615,36,135,4.1,0
1,8,19,23.5,9.7,42,11,82,7,135,3.3,0
1,8,20,22.8,9.9,44,0,0,0,135,3.4,0
1,8,21,21.2,10.1,49,0,0,0,135,2.1,0
1,8,22,21.1,9.7,48,0,0,0,135,3.4,0
1,8,23,20.1,9.5,50,0,0,0,90,3.4,0
1,8,24,19.5,9.2,51,0,0,0,90,4.1,0
1,9,1,18.3,9.5,56,0,0,0,90,3.5,0
1,9,2,17.4,9.4,59,0,0,0,113,3.5,0
1,9,3,17.0,9.7,62,0,0,0,113,3.1,0
1,9,4,16.3,9.5,64,0,0,0,113,3.4,0
1,9,5,16.2,9.7,65,17,127,8,113,3.2,0
1,9,6,15.9,9.8,67,175,652,38,113,3.1,0
1,9,7,17.6,9.9,61,408,867,55,113,2.9,0
1,9,8,19.0,9.9,56,639,965,62,113,2.9,0
1,9,9,21.6,9.8,47,840,1016,65,113,3.1,0
1,9,10,22.7,9.4,43,997,1045,66,113,3.1,0
1,9,11,24.6,8.8,37,1095,1062,64,90,3.4,0
1,9,12,25.7,7.7,32,1126,1066,64,90,3.6,0
1,9,13,27.6,7.3,28,1090,1062,63,90,3.8,0
1,9,14,28.5,6.6,25,990,1045,64,135,3.9,0
1,9,15,28.9,7.0,25,831,1014,65,135,3.6,0
1,9,16,28.9,6.3,24,629,961,62,135,3.7,3
1,9,17,28.5,6.6,25,400,869,54,135,3.4,3
1,9,18,28.5,6.3,25,169,615,37,135,3.6,1
1,9,19,27.1,7.7,29,11,74,8,135,2.9,1
1,9,20,26.2,8.3,32,0,0,0,135,2.8,1
1,9,21,24.4,9.3,38,0,0,0,135,2.6,1
1,9,22,24.2,9.5,39,0,0,0,135,3.0,8
1,9,23,23.1,9.7,43,0,0,0,135,3.3,8
1,9,24,22.4,9.7,44,0,0,0,135,3.6,8
1,10,1,20.9,10.1,50,0,0,0,135,4.3,8
1,10,2,19.6,10.3,55,0,0,0,113,4.6,8
1,10,3,18.6,10.8,60,0,0,0,113,4.6,6
1,10,4,17.7,10.7,64,0,0,0,113,4.3,5
1,10,5,17.3,11.0,66,15,93,8,135,3.8,4
1,10,6,17.1,10.8,66,168,599,43,135,3.6,0
1,10,7,18.4,11.4,64,400,827,63,135,2.8,0
1,10,8,19.9,11.4,58,628,927,72,113,2.4,0
1,10,9,22.4,11.0,48,829,986,74,113,2.1,0
1,10,10,24.2,10.5,42,983,1016,73,113,2.3,0
1,10,11,26.5,9.9,35,1081,1027,76,113,2.5,0
1,10,12,28.4,9.2,30,1125,1045,72,113,2.6,0
1,10,13,30.1,7.9,25,1086,1034,76,113,3.2,0
1,10,14,31.1,6.8,22,988,1025,72,135,3.5,0
1,10,15,31.0,6.4,21,828,994,70,135,3.6,0
1,10,16,31.2,4.9,19,626,942,66,135,3.7,0
1,10,17,30.6,4.1,19,400,859,55,158,3.7,0
1,10,18,30.6,1.2,15,167,591,40,158,4.6,0
1,10,19,28.7,3.6,20,12,72,8,158,3.5,0
1,10,20,27.8,3.6,21,0,0,0,113,3.6,0
1,10,21,25.8,6.6,29,0,0,0,113,2.1,0
1,10,22,25.9,4.2,25,0,0,0,113,4.1,0
1,10,23,24.9,4.7,27,0,0,0,68,4.5,0
1,10,24,24.7,3.1,25,0,0,0,68,6.2,0
1,11,1,22.7,5.9,34,0,0,0,68,5.0,0
1,11,2,21.6,6.6,38,0,0,0,113,5.2,0
1,11,3,20.3,8.2,46,0,0,0,113,5.1,0
1,11,4,19.9,8.0,46,0,0,0,113,5.4,0
1,11,5,19.5,8.2,48,17,143,7,90,5.2,0
1,11,6,19.2,8.4,50,176,677,35,90,4.1,0
1,11,7,20.7,8.0,44,411,889,50,90,4.5,0
1,11,8,22.2,7.3,38,645,986,57,90,4.2,0
1,11,9,25.3,6.0,29,853,1039,59,90,4.6,0
1,11,10,26.5,5.3,26,1009,1063,60,90,3.8,0
1,11,11,28.9,3.9,20,1110,1077,60,68,3.7,0
1,11,12,30.3,2.8,17,1143,1080,61,68,3.6,0
1,11,13,32.4,1.6,14,1096,1058,66,68,3.9,0
1,11,14,33.2,0.9,13,1004,1058,62,68,3.9,0
1,11,15,32.8,1.2,13,838,1026,62,68,4.1,0
1,11,16,32.9,1.6,14,634,973,60,68,3.7,0
1,11,17,31.9,2.5,15,400,873,53,90,3.4,0
1,11,18,32.1,3.0,16,166,612,37,90,2.6,0
1,11,19,29.5,3.9,20,11,80,7,90,2.8,0
1,11,20,28.3,4.2,21,0,0,0,113,2.7,0
1,11,21,26.0,4.4,25,0,0,0,113,2.6,0
1,11,22,26.4,4.2,24,0,0,0,113,2.9,0
1,11,23,25.6,3.9,25,0,0,0,45,3.2,0
1,11,24,25.5,3.1,23,0,0,0,45,5.1,0
1,12,1,23.8,3.1,26,0,0,0,45,4.0,0
1,12,2,23.0,3.3,28,0,0,0,68,4.2,0
1,12,3,22.4,4.4,31,0,0,0,68,2.6,0
1,12,4,21.7,4.7,33,0,0,0,68,4.4,0
1,12,5,21.5,5.7,36,16,138,7,45,4.3,0
1,12,6,20.9,6.2,38,175,680,36,45,4.6,0
1,12,7,22.8,6.6,35,410,893,50,45,3.5,0
1,12,8,24.4,6.4,31,645,989,57,23,3.1,0
1,12,9,27.6,5.2,24,850,1040,59,23,3.6,0
1,12,10,28.8,4.7,22,1012,1071,58,23,2.5,0
1,12,11,31.2,3.3,17,1113,1086,55,90,2.5,0
1,12,12,32.9,2.7,15,1147,1088,58,90,1.5,0
1,12,13,35.2,0.2,11,1111,1082,58,90,2.9,0
1,12,14,36.3,-1.2,9,1005,1061,61,113,3.2,0
1,12,15,36.3,-1.6,9,841,1030,61,113,3.6,0
1,12,16,36.5,-2.0,8,642,986,60,113,3.7,3
1,12,17,35.6,-1.6,9,405,892,51,113,3.8,3
1,12,18,35.5,-3.7,8,169,630,37,113,4.6,1
1,12,19,33.0,-0.2,12,12,86,7,113,3.4,4
1,12,20,31.4,0.2,13,0,0,0,23,3.0,5
1,12,21,28.8,3.3,20,0,0,0,23,1.5,0
1,12,22,28.4,0.8,17,0,0,0,23,2.2,0
1,12,23,26.9,1.5,19,0,0,0,0,2.0,0
1,12,24,26.0,1.2,20,0,0,0,0,2.6,0
1,13,1,23.8,4.1,28,0,0,0,0,1.9,0
1,13,2,22.4,5.6,34,0,0,0,158,2.1,0
1,13,3,21.2,6.8,39,0,0,0,158,2.6,0
1,13,4,20.2,9.3,49,0,0,0,158,3.1,0
1,13,5,19.7,11.0,57,14,99,8,158,3.6,0
1,13,6,19.1,13.0,68,165,580,45,158,3.6,0
1,13,7,20.6,13.0,62,397,817,66,158,4.1,0
1,13,8,22.1,13.3,57,628,926,75,135,4.1,0
1,13,9,24.8,13.1,48,829,987,77,135,4.1,0
1,13,10,26.6,12.3,41,987,1022,76,135,3.3,0
1,13,11,29.2,11.2,33,1083,1036,75,90,2.7,0
1,13,12,31.7,8.5,24,1116,1040,76,90,2.1,0
1,13,13,33.7,8.3,21,1074,1020,83,90,2.2,0
1,13,14,35.0,6.8,18,969,995,85,90,2.3,0
1,13,15,35.1,7.2,18,812,959,86,90,2.6,0
1,13,16,35.4,5.6,16,608,896,80,90,3.6,3
1,13,17,34.5,5.9,17,379,786,69,158,4.6,4
1,13,18,33.5,6.6,19,153,519,45,158,6.7,1
1,13,19,31.4,8.1,23,11,58,8,158,6.6,1
1,13,20,29.6,9.5,29,0,0,0,135,7.4,1
1,13,21,27.7,10.6,34,0,0,0,135,6.2,1
1,13,22,25.8,11.8,42,0,0,0,135,7.9,6
1,13,23,24.1,12.6,49,0,0,0,113,7.7,8
1,13,24,22.5,13.4,56,0,0,0,113,8.7,8
1,14,1,20.9,13.7,63,0,0,0,113,7.2,8
1,14,2,19.7,13.9,69,0,0,0,135,6.7,8
1,14,3,18.6,13.6,73,0,0,0,135,6.2,6
1,14,4,18.2,13.4,74,0,0,0,135,6.3,6
1,14,5,18.1,13.0,72,12,54,9,113,6.3,5
1,14,6,18.3,13.0,71,156,478,51,113,6.2,3
1,14,7,19.4,12.0,62,392,796,70,113,6.3,3
1,14,8,20.9,11.4,55,620,910,79,113,6.2,1
1,14,9,23.5,10.5,44,823,973,81,113,5.7,1
1,14,10,25.2,10.3,39,978,1007,81,113,5.0,1
1,14,11,27.6,9.7,33,1077,1026,79,90,4.0,1
1,14,12,29.4,8.7,27,1110,1031,79,90,3.1,0
1,14,13,31.9,8.7,24,1074,1027,77,90,2.0,0
1,14,14,33.4,8.5,22,973,1011,76,45,1.2,0
1,14,15,34.2,9.1,21,812,973,76,45,1.0,0
1,14,16,34.8,8.3,20,610,917,70,45,0.8,3
1,14,17,34.6,8.1,20,379,801,62,158,1.2,4
1,14,18,34.9,7.4,18,152,542,41,158,1.5,1
1,14,19,33.3,7.7,21,10,58,7,158,3.0,1
1,14,20,32.3,7.2,21,0,0,0,113,4.0,1
1,14,21,30.4,6.8,23,0,0,0,113,5.1,1
1,14,22,30.1,6.3,22,0,0,0,113,5.5,6
1,14,23,28.9,6.1,24,0,0,0,90,5.8,8
1,14,24,27.9,5.6,24,0,0,0,90,6.2,8
1,15,1,26.0,7.0,30,0,0,0,90,5.7,8
1,15,2,24.6,8.1,35,0,0,0,90,5.4,6
1,15,3,23.9,10.0,41,0,0,0,90,4.6,6
1,15,4,22.5,10.2,46,0,0,0,90,4.8,5
1,15,5,22.1,11.3,50,12,79,7,90,4.7,4
1,15,6,21.5,11.8,54,157,573,42,90,4.6,0
1,15,7,23.4,12.2,49,387,814,62,90,4.7,0
1,15,8,25.1,11.8,43,618,926,70,45,4.7,0
1,15,9,27.9,9.9,32,822,988,73,45,5.1,0
1,15,10,30.2,9.5,28,982,1023,73,45,4.7,0
1,15,11,33.2,7.2,20,1086,1041,72,23,4.6,0
1,15,12,36.3,6.1,16,1122,1048,71,23,4.6,1
1,15,13,38.8,1.4,10,1091,1046,72,23,4.3,1
1,15,14,40.9,-2.1,7,991,1023,77,270,4.4,3
1,15,15,41.9,-4.7,5,841,948,119,270,3.6,3
1,15,16,42.6,-6.2,4,641,904,103,270,5.1,4
1,15,17,42.2,-6.2,4,327,547,100,270,5.8,5
1,15,18,41.0,-6.8,4,177,540,67,270,7.7,4
1,15,19,39.0,-1.0,8,12,57,8,270,7.4,5
1,15,20,36.6,2.3,12,0,0,0,180,8.1,5
1,15,21,34.0,6.2,18,0,0,0,180,8.2,1
1,15,22,31.0,7.8,24,0,0,0,180,8.7,6
1,15,23,28.2,9.6,31,0,0,0,180,8.6,6
1,15,24,25.2,11.4,42,0,0,0,180,8.2,6
1,16,1,23.3,11.8,48,0,0,0,180,7.7,6
1,16,2,21.3,12.1,56,0,0,0,158,7.4,8
1,16,3,20.0,11.8,59,0,0,0,158,6.2,8
1,16,4,18.5,12.1,66,0,0,0,158,7.1,9
1,16,5,17.8,12.0,69,6,0,6,135,7.2,9
1,16,6,17.6,11.8,69,78,2,78,135,8.7,9
1,16,7,18.0,11.8,67,200,6,198,135,7.6,9
1,16,8,18.8,11.7,63,319,11,313,135,7.9,9
1,16,9,20.0,12.0,60,457,13,447,135,7.2,9
1,16,10,21.2,11.7,55,642,62,583,135,8.0,5
1,16,11,22.6,11.5,49,876,260,615,135,7.8,4
1,16,12,23.6,11.3,46,1041,647,384,135,7.7,6
1,16,13,25.0,11.2,42,1059,936,149,135,7.0,3
1,16,14,25.8,11.0,39,978,1002,89,135,6.5,3
1,16,15,26.7,10.6,36,817,970,84,135,5.7,0
1,16,16,26.6,10.8,37,613,912,75,135,5.6,3
1,16,17,26.5,10.6,37,381,804,64,135,5.4,4
1,16,18,26.1,10.6,38,150,522,45,135,6.2,1
1,16,19,25.8,10.5,38,10,36,7,135,5.5,1
1,16,20,25.1,10.3,39,0,0,0,113,5.7,1
1,16,21,24.1,10.3,42,0,0,0,113,5.1,1
1,16,22,23.1,9.8,43,0,0,0,113,6.3,6
1,16,23,21.8,9.6,46,0,0,0,113,6.6,8
1,16,24,20.5,8.8,47,0,0,0,113,7.2,8
1,17,1,18.8,9.0,53,0,0,0,113,7.1,8
1,17,2,17.3,9.0,58,0,0,0,113,7.1,8
1,17,3,15.7,9.6,67,0,0,0,113,6.7,8
1,17,4,14.9,9.4,70,0,0,0,113,6.7,8
1,17,5,14.4,9.8,74,9,10,9,113,6.4,8
1,17,6,15.0,9.6,70,67,1,67,113,6.7,9
1,17,7,15.5,10.3,71,143,1,142,113,5.8,5
1,17,8,17.0,10.4,65,384,55,347,90,5.5,5
1,17,9,18.6,10.3,58,740,642,236,90,4.6,5
1,17,10,21.1,9.6,48,993,1037,72,90,5.0,3
1,17,11,23.4,8.8,39,1094,1054,71,90,4.8,1
1,17,12,25.5,8.0,33,1127,1057,72,90,4.6,1
1,17,13,27.1,7.1,28,1092,1053,72,90,4.4,1
1,17,14,28.3,6.4,25,992,1047,65,90,4.2,1
1,17,15,29.0,5.7,23,830,1014,67,90,4.6,1
1,17,16,29.3,5.4,22,623,956,64,90,4.1,1
1,17,17,29.2,5.4,22,388,850,56,90,4.2,1
1,17,18,29.2,5.2,22,156,619,37,90,4.1,1
1,17,19,28.4,5.4,23,11,57,6,90,4.5,5
1,17,20,27.7,5.4,24,0,0,0,90,4.8,5
1,17,21,26.4,5.4,26,0,0,0,90,4.6,0
1,17,22,26.2,4.7,25,0,0,0,90,5.2,0
1,17,23,25.2,4.1,26,0,0,0,68,5.2,0
1,17,24,24.3,3.9,27,0,0,0,68,5.7,0
1,18,1,23.0,3.3,28,0,0,0,68,5.1,0
1,18,2,21.9,3.0,29,0,0,0,90,4.9,0
1,18,3,21.5,2.7,29,0,0,0,90,4.6,0
1,18,4,20.2,4.1,35,0,0,0,90,4.3,0
1,18,5,20.0,5.4,38,10,104,4,68,4.1,0
1,18,6,19.1,7.9,48,155,635,31,68,3.6,0
1,18,7,21.7,7.5,40,387,859,49,68,4.0,0
1,18,8,23.7,7.9,36,616,945,60,23,4.1,0
1,18,9,27.6,6.4,26,821,999,65,23,4.6,0
1,18,10,29.3,7.3,25,982,1031,66,23,4.3,0
1,18,11,32.4,5.9,19,1082,1045,67,0,4.4,0
1,18,12,35.0,4.6,15,1113,1043,69,0,4.1,1
1,18,13,37.9,2.1,11,1074,1032,71,0,4.4,1
1,18,14,39.6,0.5,9,971,1009,73,338,4.4,1
1,18,15,40.0,1.4,9,812,973,74,338,5.1,1
1,18,16,40.5,0.1,8,541,742,95,338,4.5,6
1,18,17,39.7,1.7,10,146,77,115,338,4.7,6
1,18,18,38.9,2.0,10,55,11,52,338,4.1,6
1,18,19,36.6,6.0,15,1,2,1,338,5.7,8
1,18,20,34.6,8.0,19,0,0,0,338,6.2,8
1,18,21,32.6,9.4,24,0,0,0,338,7.2,9
1,18,22,30.5,10.0,28,0,0,0,338,7.2,8
1,18,23,28.5,10.0,32,0,0,0,203,7.4,8
1,18,24,26.1,10.7,38,0,0,0,203,8.2,8
1,19,1,24.4,9.2,38,0,0,0,203,6.9,9
1,19,2,22.7,8.4,40,0,0,0,158,6.2,8
1,19,3,21.4,6.3,37,0,0,0,158,3.6,8
1,19,4,19.8,7.8,46,0,0,0,158,4.6,8
1,19,5,19.0,8.2,49,7,6,6,180,3.9,6
1,19,6,18.2,10.2,60,67,49,58,180,4.6,8
1,19,7,19.0,9.8,55,370,677,93,180,3.6,4
1,19,8,20.1,10.8,55,581,705,164,203,3.9,4
1,19,9,22.2,10.8,48,800,920,98,203,5.1,3
1,19,10,24.0,11.1,44,984,1009,89,203,5.1,3
1,19,11,26.4,10.4,37,1081,1029,84,225,5.7,3
1,19,12,28.8,8.9,29,1116,1042,78,225,4.6,3
1,19,13,31.0,7.2,23,1082,1045,71,225,6.2,1
1,19,14,32.6,4.9,18,983,1036,67,203,6.0,1
1,19,15,33.0,2.4,14,828,1016,64,203,6.2,1
1,19,16,33.4,0.5,12,624,969,61,203,5.0,3
1,19,17,32.6,-0.6,12,387,868,52,203,4.4,3
1,19,18,31.6,0.8,14,152,622,35,203,4.6,0
1,19,19,29.3,0.8,16,10,49,6,203,3.6,0
1,19,20,27.2,2.7,21,0,0,0,180,3.5,0
1,19,21,25.0,3.0,24,0,0,0,180,2.6,0
1,19,22,22.9,6.1,34,0,0,0,180,4.2,0
1,19,23,21.0,7.3,41,0,0,0,135,4.7,0
1,19,24,18.9,8.9,52,0,0,0,135,5.7,0
1,20,1,17.9,8.6,54,0,0,0,135,5.8,0
1,20,2,16.8,8.8,59,0,0,0,135,6.1,0
1,20,3,16.6,8.4,58,0,0,0,135,6.2,0
1,20,4,15.5,8.6,63,0,0,0,135,5.9,0
1,20,5,15.5,8.4,63,11,65,7,135,5.6,0
1,20,6,15.5,8.0,61,153,561,43,135,5.1,0
1,20,7,16.6,8.4,58,386,812,66,135,4.9,1
1,20,8,17.8,8.4,54,619,921,78,113,4.5,1
1,20,9,19.6,8.6,49,823,985,80,113,4.6,1
1,20,10,21.2,8.4,44,980,1020,79,113,3.8,1
1,20,11,23.0,8.1,38,1078,1038,77,113,3.5,1
1,20,12,24.5,8.7,37,1111,1047,72,113,2.1,0
1,20,13,26.5,7.7,30,1075,1044,70,113,2.6,0
1,20,14,27.8,7.3,27,972,1024,72,180,2.0,0
