Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,16.1,11.4,74,608,228,400,180,7.9,8
1,1,15,17.0,10.3,65,678,454,308,180,6.2,6
1,1,16,16.0,11.4,74,158,0,158,180,4.2,8
1,1,17,15.7,11.6,77,131,35,111,225,2.6,8
1,1,18,14.9,11.9,82,106,21,97,225,2.1,10
1,1,19,14.8,12.1,84,103,75,83,225,0.8,8
1,1,20,14.2,12.3,88,8,2,5,0,0.0,8
1,1,21,13.8,13.1,96,0,0,0,0,0.0,8
1,1,22,13.0,12.3,96,0,0,0,0,0.0,6
1,1,23,12.5,11.9,96,0,0,0,0,0.0,6
1,1,24,11.7,10.5,92,0,0,0,0,0.0,4
1,2,1,11.7,10.5,92,0,0,0,0,0.0,4
1,2,2,11.6,9.6,88,0,0,0,315,0.6,4
1,2,3,12.3,8.9,80,0,0,0,315,1.0,4
1,2,4,12.0,8.1,77,0,0,0,315,0.4,6
1,2,5,12.4,7.9,74,0,0,0,315,0.5,6
1,2,6,11.7,9.0,83,19,11,17,315,1.0,8
1,2,7,13.2,8.8,75,225,238,156,315,1.6,8
1,2,8,13.7,9.4,75,275,47,253,270,2.7,8
1,2,9,15.5,9.2,66,519,384,264,270,4.1,6
1,2,10,14.6,10.7,77,289,151,169,270,5.7,8
1,2,11,15.0,11.1,77,439,245,214,270,7.1,8
1,2,12,14.3,11.7,84,453,187,275,270,7.2,8
1,2,13,16.0,11.2,73,289,26,264,270,8.9,6
1,2,14,16.3,11.1,71,394,95,306,203,9.0,8
1,2,15,17.3,10.9,66,544,322,275,203,10.3,6
1,2,16,16.8,10.9,68,556,360,300,203,7.3,8
1,2,17,16.8,10.9,68,219,0,219,180,5.9,9
1,2,18,16.5,11.1,70,142,7,139,180,3.1,8
1,2,19,16.3,11.4,73,56,27,50,180,2.7,9
1,2,20,15.8,11.8,77,3,0,3,0,0.0,9
1,2,21,15.1,11.8,81,0,0,0,0,0.0,10
1,2,22,14.5,12.3,87,0,0,0,0,0.0,8
1,2,23,13.9,12.1,89,0,0,0,0,0.0,8
1,2,24,13.3,12.4,94,0,0,0,270,0.5,8
1,3,1,12.9,11.4,91,0,0,0,0,0.0,6
1,3,2,12.5,11.1,91,0,0,0,270,0.3,6
1,3,3,12.4,10.1,86,0,0,0,270,0.5,9
1,3,4,12.1,10.5,90,0,0,0,270,1.0,9
1,3,5,12.2,10.5,89,0,0,0,293,1.2,9
1,3,6,12.2,10.9,92,56,43,47,293,0.5,9
1,3,7,12.9,11.1,89,103,21,97,293,1.9,9
1,3,8,13.5,11.6,88,139,5,136,225,2.5,9
1,3,9,14.8,12.2,84,344,29,325,225,4.1,9
1,3,10,14.9,12.3,84,522,62,472,225,4.3,9
1,3,11,15.6,12.4,81,664,185,500,225,5.4,9
1,3,12,15.3,12.4,83,514,153,367,225,7.2,9
1,3,13,16.7,12.4,76,961,522,461,225,7.4,5
1,3,14,17.0,12.2,73,828,554,322,180,8.0,4
1,3,15,17.9,11.6,67,883,867,169,180,6.2,5
1,3,16,17.5,11.7,69,711,823,139,180,7.6,5
1,3,17,17.6,11.7,68,503,682,139,180,6.7,5
1,3,18,17.6,12.2,71,303,508,125,180,7.2,5
1,3,19,17.5,11.9,70,114,291,44,180,4.2,6
1,3,20,17.3,12.1,71,3,0,3,203,3.0,6
1,3,21,16.8,11.9,73,0,0,0,203,1.0,8
1,3,22,16.8,12.3,75,0,0,0,203,1.6,8
1,3,23,16.5,12.3,76,0,0,0,158,1.5,8
1,3,24,16.0,12.1,78,0,0,0,158,2.6,8
1,4,1,15.8,12.1,79,0,0,0,158,2.4,8
1,4,2,15.4,12.1,81,0,0,0,225,3.2,8
1,4,3,15.8,12.3,80,0,0,0,225,3.6,9
1,4,4,15.0,12.3,84,0,0,0,225,4.9,9
1,4,5,14.9,12.4,85,0,0,0,225,5.6,9
1,4,6,14.4,12.5,88,17,17,14,225,6.2,10
1,4,7,15.5,12.9,84,39,11,36,225,6.3,9
1,4,8,16.1,13.3,83,81,5,78,203,6.3,9
1,4,9,17.1,13.7,80,317,74,267,203,6.2,9
1,4,10,17.5,13.4,77,711,485,319,203,6.1,6
1,4,11,18.2,13.4,74,864,667,261,225,6.0,4
1,4,12,18.8,13.1,69,947,744,239,225,6.2,5
1,4,13,19.0,13.1,69,975,692,311,225,5.9,3
1,4,14,19.1,13.0,68,1003,809,264,158,5.9,3
1,4,15,18.9,12.5,66,875,947,94,158,5.1,0
1,4,16,18.8,12.5,67,703,861,106,158,5.8,3
1,4,17,18.4,12.5,68,511,763,103,158,5.7,4
1,4,18,18.0,12.8,72,308,611,92,158,6.2,3
1,4,19,17.7,12.7,73,111,210,56,158,5.4,5
1,4,20,17.4,13.0,75,6,1,3,180,5.1,6
1,4,21,17.3,13.3,77,0,0,0,180,5.1,6
1,4,22,17.0,13.5,80,0,0,0,180,4.5,6
1,4,23,16.8,13.8,82,0,0,0,180,4.2,6
1,4,24,16.6,13.6,82,0,0,0,180,2.6,8
1,5,1,16.6,13.9,84,0,0,0,180,3.1,6
1,5,2,16.5,14.1,86,0,0,0,158,2.7,8
1,5,3,16.7,14.1,85,0,0,0,158,3.6,9
1,5,4,16.6,14.2,86,0,0,0,158,1.8,9
1,5,5,16.9,14.4,85,0,0,0,0,0.0,9
1,5,6,16.7,14.4,86,25,0,25,0,0.0,9
1,5,7,18.0,14.6,81,136,18,131,0,0.0,9
1,5,8,18.8,14.6,77,192,16,183,158,1.2,9
1,5,9,20.6,15.1,71,428,251,261,158,2.1,9
1,5,10,20.7,14.9,69,422,113,333,158,2.4,6
1,5,11,21.7,15.1,66,617,232,406,158,3.4,5
1,5,12,22.1,14.6,62,808,464,367,158,4.6,6
1,5,13,23.2,15.6,62,1044,904,178,158,5.4,4
1,5,14,23.5,15.7,62,1006,963,125,180,6.2,4
1,5,15,23.4,16.5,65,892,920,133,180,6.2,5
1,5,16,23.5,16.1,63,697,857,103,180,6.6,4
1,5,17,23.2,16.1,64,506,793,83,158,6.1,4
1,5,18,23.2,15.9,64,297,660,64,158,5.7,0
1,5,19,22.2,16.1,68,106,278,36,158,4.0,0
1,5,20,21.6,16.0,70,6,1,3,203,2.7,0
1,5,21,20.7,15.7,73,0,0,0,203,1.0,0
1,5,22,20.2,15.6,75,0,0,0,203,0.5,0
1,5,23,19.5,15.3,77,0,0,0,0,0.0,0
1,5,24,18.7,15.3,81,0,0,0,0,0.0,0
1,6,1,17.7,15.0,84,0,0,0,0,0.0,4
1,6,2,16.8,14.8,88,0,0,0,0,0.0,5
1,6,3,15.6,14.8,95,0,0,0,0,0.0,1
1,6,4,15.4,14.8,96,0,0,0,0,0.0,8
1,6,5,15.1,14.9,99,0,0,0,248,1.0,9
1,6,6,15.7,14.9,95,28,0,28,248,1.0,10
1,6,7,15.7,15.2,97,69,8,67,248,1.0,10
1,6,8,16.7,15.2,91,125,6,122,113,0.8,10
1,6,9,17.7,15.2,85,342,60,300,113,1.0,10
1,6,10,19.7,15.0,74,819,731,233,113,0.7,5
1,6,11,21.3,15.0,67,917,775,219,135,0.9,4
1,6,12,23.2,15.0,60,1022,904,161,135,1.0,3
1,6,13,24.1,15.3,58,1039,896,181,135,1.8,3
1,6,14,25.0,15.7,56,992,948,125,135,2.4,3
1,6,15,24.8,16.5,60,872,944,94,135,3.1,3
1,6,16,25.5,16.8,59,700,880,89,135,3.3,3
1,6,17,25.2,17.4,62,431,581,122,158,3.5,3
1,6,18,25.6,17.6,61,289,512,117,158,3.1,3
1,6,19,24.1,18.5,71,78,189,39,158,2.9,5
1,6,20,23.4,18.7,75,6,1,3,135,2.4,5
1,6,21,22.2,19.1,83,0,0,0,135,2.1,0
1,6,22,21.9,18.6,82,0,0,0,135,1.1,0
1,6,23,21.1,18.2,84,0,0,0,0,0.0,0
1,6,24,19.9,17.8,88,0,0,0,0,0.0,0
1,7,1,18.9,17.5,92,0,0,0,0,0.0,0
1,7,2,18.0,17.0,94,0,0,0,0,0.0,0
1,7,3,18.2,16.8,92,0,0,0,0,0.0,0
1,7,4,17.1,16.4,96,0,0,0,0,0.0,0
1,7,5,17.3,16.2,93,0,0,0,0,0.0,0
1,7,6,17.1,16.0,93,69,42,31,0,0.0,0
1,7,7,19.5,16.5,83,267,691,53,0,0.0,0
1,7,8,21.5,16.6,74,483,853,64,0,0.0,0
1,7,9,23.8,17.4,67,678,911,78,0,0.0,0
1,7,10,26.7,16.4,53,839,958,75,0,0.0,0
1,7,11,29.5,15.9,44,953,978,75,0,0.0,0
1,7,12,33.5,14.1,31,1039,1007,81,0,0.0,0
1,7,13,34.1,14.2,30,1061,1027,78,0,0.0,1
1,7,14,35.6,13.3,26,989,982,92,135,1.9,3
1,7,15,34.6,13.1,27,867,948,86,135,4.1,1
1,7,16,36.3,11.5,22,694,880,83,135,3.4,4
1,7,17,35.6,11.1,23,492,778,78,135,3.9,4
1,7,18,35.2,10.9,23,286,648,58,135,2.6,0
1,7,19,33.0,11.5,27,106,264,36,135,3.9,0
1,7,20,31.3,12.0,31,6,1,3,68,3.4,0
1,7,21,30.0,12.5,34,0,0,0,68,3.1,0
1,7,22,28.3,13.3,40,0,0,0,68,1.7,0
1,7,23,27.0,13.7,44,0,0,0,45,0.9,0
1,7,24,25.7,13.9,48,0,0,0,45,1.0,0
1,8,1,25.2,13.9,50,0,0,0,45,0.7,0
1,8,2,24.7,13.4,49,0,0,0,23,1.3,0
1,8,3,24.6,12.9,48,0,0,0,23,1.5,0
1,8,4,24.7,11.8,44,0,0,0,23,4.0,5
1,8,5,25.3,10.5,39,0,0,0,158,5.8,5
1,8,6,26.3,9.0,34,61,41,33,158,8.2,6
1,8,7,27.5,8.4,30,247,570,69,158,9.4,5
1,8,8,29.0,7.7,26,458,781,72,23,10.8,5
1,8,9,30.5,7.9,24,692,939,75,23,11.8,5
1,8,10,32.3,7.5,21,844,949,89,23,11.8,5
1,8,11,34.0,7.7,20,906,865,131,338,11.5,5
1,8,12,35.6,7.9,18,619,171,458,338,10.3,8
1,8,13,36.6,8.3,18,525,55,472,338,9.8,8
1,8,14,37.5,8.5,17,456,25,433,315,8.7,8
1,8,15,38.1,7.9,16,392,59,342,315,8.2,9
1,8,16,38.0,8.5,17,181,4,178,315,6.9,10
1,8,17,37.5,8.3,17,72,6,69,0,6.3,10
1,8,18,35.6,9.7,21,78,19,72,0,5.1,10
1,8,19,35.3,8.1,19,50,21,44,0,5.8,9
1,8,20,33.6,8.3,21,3,0,3,338,5.8,9
1,8,21,33.5,7.0,19,0,0,0,338,7.2,8
1,8,22,29.2,9.6,29,0,0,0,338,5.7,8
1,8,23,26.6,10.5,36,0,0,0,203,5.4,8
1,8,24,22.2,11.9,52,0,0,0,203,3.6,8
1,9,1,21.6,12.6,57,0,0,0,203,4.4,8
1,9,2,19.6,13.6,68,0,0,0,225,3.8,8
1,9,3,18.9,14.6,76,0,0,0,225,4.1,8
1,9,4,17.1,14.5,85,0,0,0,225,3.0,6
1,9,5,16.9,14.5,86,0,0,0,270,2.9,6
1,9,6,17.6,13.7,78,47,36,42,270,2.6,6
1,9,7,17.9,13.6,76,164,98,130,270,3.3,6
1,9,8,18.9,13.0,69,461,528,203,248,3.8,6
1,9,9,19.4,12.2,63,353,63,314,248,5.1,6
1,9,10,20.9,11.7,56,417,57,372,248,5.0,5
1,9,11,21.6,11.3,52,522,100,433,270,5.6,5
1,9,12,21.6,11.9,54,719,251,481,270,4.6,9
1,9,13,22.1,11.3,50,681,272,419,270,6.6,4
1,9,14,21.9,11.5,52,897,689,269,248,6.9,4
1,9,15,22.7,11.5,49,811,752,192,248,8.8,4
1,9,16,21.0,12.2,57,683,818,119,248,6.8,4
1,9,17,20.5,12.4,60,506,785,86,203,6.6,4
1,9,18,19.4,12.1,63,175,234,86,203,5.1,4
1,9,19,19.5,12.2,63,97,48,75,203,5.6,5
1,9,20,19.0,12.3,65,6,1,3,180,5.0,5
1,9,21,17.8,12.6,72,0,0,0,180,4.1,3
1,9,22,18.0,11.9,67,0,0,0,180,4.0,5
1,9,23,17.4,11.8,70,0,0,0,180,3.6,5
1,9,24,17.8,11.6,67,0,0,0,180,4.6,0
1,10,1,16.2,11.6,74,0,0,0,180,3.5,4
1,10,2,15.7,11.2,75,0,0,0,135,3.8,5
1,10,3,14.6,10.9,78,0,0,0,135,2.6,4
1,10,4,14.8,10.5,75,0,0,0,135,4.1,4
1,10,5,14.6,10.1,74,0,0,0,135,4.1,4
1,10,6,14.6,10.3,75,67,39,25,135,4.1,4
1,10,7,15.0,9.3,69,275,740,53,135,3.9,6
1,10,8,15.7,9.0,64,400,636,103,135,3.7,5
1,10,9,16.7,7.9,56,353,133,269,135,5.1,6
1,10,10,17.7,8.5,55,436,38,406,135,3.9,4
1,10,11,18.8,8.3,50,742,365,414,135,4.1,4
1,10,12,20.0,8.3,47,1031,891,183,135,3.1,1
1,10,13,20.5,8.5,46,1078,1034,89,135,5.0,3
1,10,14,21.0,8.9,46,1017,1019,86,158,5.3,3
1,10,15,21.0,10.5,51,894,989,81,158,5.7,0
1,10,16,20.8,10.5,52,722,926,81,158,5.3,0
1,10,17,20.4,11.4,56,525,851,72,158,4.9,0
1,10,18,19.1,11.4,61,314,732,58,158,5.1,0
1,10,19,18.9,12.9,68,117,293,42,158,3.5,0
1,10,20,18.1,13.2,73,6,1,3,203,2.6,0
1,10,21,18.3,14.0,76,0,0,0,203,1.0,0
1,10,22,16.6,13.1,80,0,0,0,203,1.2,0
1,10,23,15.9,12.7,81,0,0,0,270,0.8,0
1,10,24,14.5,11.4,82,0,0,0,270,1.0,0
1,11,1,14.8,11.5,81,0,0,0,270,0.7,0
1,11,2,14.3,11.0,81,0,0,0,338,0.7,0
1,11,3,13.9,11.9,88,0,0,0,338,0.5,0
1,11,4,13.4,11.2,87,0,0,0,338,0.7,5
1,11,5,13.3,11.7,90,0,0,0,0,0.8,5
1,11,6,13.3,12.2,93,39,18,36,0,1.5,8
1,11,7,14.6,13.3,92,222,262,133,0,0.8,4
1,11,8,16.2,13.9,86,494,845,86,0,0.9,4
1,11,9,19.5,13.5,68,686,946,69,0,0.5,0
1,11,10,21.3,13.9,63,844,976,72,0,1.7,0
1,11,11,24.4,13.0,49,936,950,89,113,2.3,0
1,11,12,26.8,12.8,42,833,531,328,113,3.1,0
1,11,13,30.1,10.0,29,997,814,219,113,3.8,3
1,11,14,32.0,8.4,23,769,428,378,0,4.5,3
1,11,15,31.9,7.0,21,767,646,239,0,5.1,5
1,11,16,33.1,5.8,18,622,639,169,0,5.3,5
1,11,17,32.1,5.8,19,367,299,214,203,5.3,5
1,11,18,32.9,4.0,16,300,660,72,203,6.2,4
1,11,19,27.9,8.8,30,108,266,42,203,4.6,6
1,11,20,25.3,10.6,40,6,1,3,180,4.1,5
1,11,21,20.6,14.5,68,0,0,0,180,1.0,3
1,11,22,20.6,13.8,65,0,0,0,180,3.1,3
1,11,23,19.0,14.7,76,0,0,0,180,2.9,3
1,11,24,18.3,14.4,78,0,0,0,180,5.1,3
1,12,1,17.3,15.1,87,0,0,0,180,3.0,4
1,12,2,17.2,14.7,85,0,0,0,180,3.2,5
1,12,3,17.9,13.5,75,0,0,0,180,3.1,0
1,12,4,17.5,13.0,75,0,0,0,180,3.7,6
1,12,5,17.8,12.2,70,0,0,0,203,4.0,8
1,12,6,17.7,12.4,71,17,6,14,203,3.6,9
1,12,7,18.2,11.2,64,103,12,100,203,4.9,9
1,12,8,18.3,11.0,62,183,26,172,158,5.3,8
1,12,9,18.3,11.2,63,308,46,280,158,6.2,8
1,12,10,18.8,11.2,61,442,119,344,158,6.2,8
1,12,11,19.1,11.4,61,681,280,433,158,6.5,6
1,12,12,19.4,10.7,57,725,225,511,158,7.2,9
1,12,13,19.8,11.2,58,650,131,525,158,7.0,5
1,12,14,20.0,11.2,57,969,720,314,180,7.1,4
1,12,15,20.6,11.4,56,769,489,364,180,6.7,5
1,12,16,19.9,11.4,58,606,396,328,180,6.9,5
1,12,17,19.7,11.6,60,394,360,211,180,6.7,5
1,12,18,19.0,12.4,66,231,232,142,180,6.2,5
1,12,19,18.8,12.6,67,44,15,42,180,6.0,6
1,12,20,18.3,13.1,72,3,0,3,180,5.5,6
1,12,21,17.3,13.2,77,0,0,0,180,5.1,6
1,12,22,17.5,13.9,79,0,0,0,180,4.4,8
1,12,23,17.2,13.9,81,0,0,0,135,3.8,8
1,12,24,17.6,13.5,77,0,0,0,135,3.6,10
1,13,1,16.8,13.5,81,0,0,0,135,2.2,10
1,13,2,16.5,13.5,82,0,0,0,0,0.0,10
1,13,3,16.6,14.0,85,0,0,0,0,0.0,10
1,13,4,16.0,13.8,87,0,0,0,0,0.0,6
1,13,5,16.1,14.0,87,0,0,0,0,0.0,5
1,13,6,15.2,13.7,91,56,35,25,0,0.0,1
1,13,7,17.1,14.3,84,242,630,56,0,0.0,4
1,13,8,18.2,14.2,77,431,665,111,113,0.3,3
1,13,9,20.6,14.0,66,667,878,97,113,1.0,3
1,13,10,21.3,13.9,63,853,949,106,113,1.6,3
1,13,11,22.9,13.7,56,942,920,122,158,2.5,1
1,13,12,24.3,14.3,54,1022,977,97,158,3.6,1
1,13,13,25.5,13.5,47,1028,984,89,158,4.0,1
1,13,14,26.3,13.7,46,978,975,89,158,4.5,3
1,13,15,26.2,13.5,45,858,946,81,158,4.1,0
1,13,16,26.2,14.7,49,694,883,83,158,5.0,0
1,13,17,25.6,15.4,53,500,800,75,180,5.0,0
1,13,18,24.5,16.0,59,286,646,61,180,5.1,0
1,13,19,23.6,16.8,66,97,226,42,180,4.8,5
1,13,20,22.6,17.3,72,3,0,3,203,4.6,5
1,13,21,22.3,18.1,77,0,0,0,203,5.1,6
1,13,22,20.9,17.7,82,0,0,0,203,3.9,6
1,13,23,20.2,17.5,84,0,0,0,248,3.4,6
1,13,24,19.3,17.0,87,0,0,0,248,2.1,10
1,14,1,19.1,17.2,89,0,0,0,248,2.0,10
1,14,2,18.7,16.9,89,0,0,0,0,0.0,10
1,14,3,18.2,16.5,90,0,0,0,0,0.0,10
1,14,4,18.0,16.8,93,0,0,0,0,0.0,10
1,14,5,18.0,16.9,93,0,0,0,0,0.0,10
1,14,6,18.3,17.4,94,8,5,6,0,0.0,10
1,14,7,18.7,17.0,90,19,0,19,0,0.0,8
1,14,8,19.6,17.2,86,197,50,172,0,0.0,6
1,14,9,20.9,16.8,77,469,297,272,0,0.0,9
1,14,10,22.2,17.0,72,750,684,208,0,0.0,4
1,14,11,23.7,17.0,66,922,850,167,158,2.5,4
1,14,12,24.9,17.4,63,1011,902,158,158,2.6,0
1,14,13,26.3,16.9,56,1036,944,136,158,4.0,3
1,14,14,27.1,17.0,54,978,942,119,158,4.5,1
1,14,15,27.3,16.5,52,858,906,114,158,5.7,1
1,14,16,27.2,17.4,55,689,846,103,158,5.2,1
1,14,17,26.6,17.7,58,494,744,100,180,5.2,1
1,14,18,26.1,18.4,63,283,598,75,180,6.2,1
1,14,19,24.3,18.2,69,100,240,44,180,4.6,4
1,14,20,23.1,18.3,74,6,1,3,0,0.0,5
1,14,21,21.2,18.3,84,0,0,0,0,0.0,0
1,14,22,20.7,18.1,85,0,0,0,0,0.0,6
1,14,23,19.8,17.9,89,0,0,0,270,0.6,6
1,14,24,19.4,17.2,87,0,0,0,270,1.5,10
1,15,1,18.2,17.2,94,0,0,0,0,0.0,6
1,15,2,18.0,17.0,94,0,0,0,0,0.0,6
1,15,3,18.9,16.8,88,0,0,0,0,0.0,0
1,15,4,18.8,16.5,86,0,0,0,0,0.0,0
1,15,5,19.8,16.2,80,0,0,0,0,0.0,0
1,15,6,19.7,16.2,80,53,33,19,0,0.0,0
1,15,7,22.9,15.4,63,247,697,47,0,0.0,0
1,15,8,24.8,14.7,53,461,849,58,0,7.2,0
1,15,9,27.9,13.1,40,672,946,64,0,11.8,0
1,15,10,28.9,12.6,37,831,969,69,0,9.4,0
1,15,11,30.9,11.5,30,953,989,75,0,9.4,0
1,15,12,32.5,10.9,27,1039,1020,75,0,7.2,0
1,15,13,34.2,9.4,22,1064,1038,75,0,7.3,3
1,15,14,35.4,8.9,20,1008,1016,83,315,5.8,3
1,15,15,36.1,7.7,18,894,961,106,315,4.1,4
1,15,16,36.4,9.9,20,608,635,172,315,3.0,4
1,15,17,36.2,11.0,22,514,819,81,0,2.4,4
1,15,18,34.8,14.7,30,267,576,64,0,3.1,1
1,15,19,34.2,13.5,29,86,227,39,0,3.2,5
1,15,20,32.5,14.5,34,3,1,0,45,4.2,5
1,15,21,31.6,12.2,31,0,0,0,45,5.1,4
1,15,22,28.3,15.8,47,0,0,0,45,6.5,6
1,15,23,26.0,15.9,54,0,0,0,158,7.2,6
1,15,24,22.9,17.7,73,0,0,0,158,7.2,9
1,16,1,21.8,15.7,68,0,0,0,158,7.0,9
1,16,2,20.0,15.1,73,0,0,0,225,6.0,9
1,16,3,18.8,14.2,75,0,0,0,225,5.1,9
1,16,4,17.5,13.9,79,0,0,0,225,3.3,9
1,16,5,16.9,13.4,80,0,0,0,225,2.2,9
1,16,6,17.2,12.1,72,22,20,19,225,1.0,10
1,16,7,17.0,12.5,75,61,12,58,225,1.5,9
1,16,8,17.5,12.1,71,158,7,155,180,2.1,9
1,16,9,17.8,12.6,72,119,0,119,180,3.6,9
1,16,10,18.6,11.8,65,406,33,381,180,4.6,9
1,16,11,19.0,11.5,62,533,19,517,135,5.9,9
1,16,12,18.9,10.9,60,561,38,525,135,7.2,9
1,16,13,19.3,10.8,58,642,41,603,135,7.6,6
1,16,14,19.2,10.2,56,653,40,617,158,7.7,6
1,16,15,19.4,9.6,53,769,262,558,158,6.7,8
1,16,16,18.9,9.0,53,733,823,167,158,6.7,8
1,16,17,18.7,8.6,52,483,630,147,158,5.9,8
1,16,18,18.7,8.2,50,225,217,150,158,5.1,8
1,16,19,18.3,7.8,50,72,61,58,158,4.4,6
1,16,20,18.1,7.8,51,6,1,3,158,3.9,6
1,16,21,17.4,7.3,51,0,0,0,158,5.1,6
1,16,22,17.4,7.8,53,0,0,0,158,3.6,6
1,16,23,16.9,8.0,56,0,0,0,113,3.4,6
1,16,24,16.1,8.8,62,0,0,0,113,1.0,8
1,17,1,15.6,9.1,65,0,0,0,113,2.7,6
1,17,2,14.8,9.3,70,0,0,0,248,2.5,6
1,17,3,15.1,9.1,67,0,0,0,248,3.6,4
1,17,4,13.9,9.3,74,0,0,0,248,1.9,6
1,17,5,13.8,9.3,74,0,0,0,0,0.0,6
1,17,6,13.3,9.1,76,36,34,22,0,0.0,8
1,17,7,14.5,9.1,70,242,565,78,0,0.0,8
1,17,8,15.3,9.1,66,461,736,117,203,1.6,8
1,17,9,16.2,9.7,65,694,783,194,203,4.1,8
1,17,10,17.0,9.3,60,778,584,319,203,3.3,4
1,17,11,17.8,9.5,58,908,702,283,158,4.5,4
1,17,12,18.7,8.9,53,1042,858,233,158,4.1,4
1,17,13,18.9,9.5,54,1019,856,206,158,7.0,4
1,17,14,19.0,9.5,54,844,491,394,135,8.0,5
1,17,15,18.9,9.5,54,742,301,497,135,9.3,8
1,17,16,18.7,9.1,54,725,668,267,135,8.7,6
1,17,17,18.3,8.9,54,392,105,333,180,8.5,8
1,17,18,17.8,8.9,56,139,26,131,180,8.2,9
1,17,19,17.2,8.3,56,47,0,47,180,7.2,9
1,17,20,16.6,8.1,57,3,0,3,158,6.3,9
1,17,21,16.0,7.6,57,0,0,0,158,5.1,9
1,17,22,15.5,7.8,60,0,0,0,158,4.8,6
1,17,23,15.1,7.8,62,0,0,0,158,4.3,6
1,17,24,14.6,7.8,64,0,0,0,158,3.6,6
1,18,1,15.1,7.6,61,0,0,0,158,3.1,6
1,18,2,15.2,7.8,61,0,0,0,158,3.3,6
1,18,3,15.6,8.0,61,0,0,0,158,4.6,9
1,18,4,15.5,8.1,61,0,0,0,158,4.2,8
1,18,5,15.7,8.3,61,0,0,0,158,4.8,9
1,18,6,15.6,8.1,61,14,0,14,158,4.1,10
1,18,7,16.0,8.5,61,58,12,56,158,6.0,10
1,18,8,16.3,8.7,61,172,7,169,158,6.4,10
1,18,9,16.8,9.1,60,244,8,239,158,7.2,10
1,18,10,16.9,8.7,58,347,22,330,158,7.1,10
1,18,11,17.3,8.5,56,278,3,275,158,7.4,10
1,18,12,17.7,8.1,53,322,6,317,158,8.2,10
1,18,13,17.8,8.5,54,258,0,258,158,8.0,9
1,18,14,18.0,8.5,54,258,9,250,158,8.3,9
1,18,15,17.6,9.3,58,206,0,205,158,8.2,9
1,18,16,18.0,8.9,55,108,0,108,158,8.5,9
1,18,17,17.9,9.3,57,97,11,92,180,8.2,9
1,18,18,18.2,8.9,55,106,7,103,180,7.2,10
1,18,19,17.7,10.3,62,36,18,33,180,7.1,8
1,18,20,17.5,10.7,64,3,0,3,180,6.3,8
1,18,21,17.4,11.9,70,0,0,0,180,6.2,9
1,18,22,17.2,11.4,69,0,0,0,180,4.9,6
1,18,23,16.9,11.7,71,0,0,0,135,4.5,6
1,18,24,16.2,11.6,74,0,0,0,135,4.6,4
1,19,1,16.1,12.2,78,0,0,0,135,4.1,6
1,19,2,15.8,12.2,79,0,0,0,158,4.4,5
1,19,3,16.0,12.2,78,0,0,0,158,4.1,6
1,19,4,15.5,12.4,82,0,0,0,158,5.5,5
1,19,5,15.7,12.5,81,0,0,0,113,6.1,5
1,19,6,15.6,13.0,85,47,31,19,113,7.2,0
1,19,7,17.0,12.9,77,231,638,53,113,6.9,4
1,19,8,18.2,13.0,72,442,747,94,113,7.0,4
1,19,9,20.1,13.0,64,628,685,189,113,6.7,4
1,19,10,21.3,13.4,61,631,488,250,113,6.9,4
1,19,11,23.0,13.3,54,758,535,283,135,6.9,4
1,19,12,24.5,13.3,50,783,526,289,135,7.2,4
1,19,13,25.7,13.2,46,869,586,314,135,7.5,4
1,19,14,26.4,13.0,43,917,677,300,135,7.9,4
1,19,15,26.3,12.7,43,692,550,244,135,8.8,3
1,19,16,26.3,12.3,42,667,778,133,135,8.9,5
1,19,17,25.5,11.8,42,508,781,97,113,9.1,5
1,19,18,24.6,11.5,44,283,547,94,113,7.7,4
1,19,19,22.9,11.3,48,103,75,44,113,8.3,5
1,19,20,21.4,11.1,52,6,1,3,113,7.2,4
1,19,21,19.8,11.3,58,0,0,0,113,7.7,0
1,19,22,18.7,11.0,61,0,0,0,113,4.3,0
1,19,23,17.6,11.0,65,0,0,0,0,0.0,0
1,19,24,16.9,10.6,66,0,0,0,0,0.0,0
1,20,1,16.1,11.1,72,0,0,0,0,0.0,0
1,20,2,15.7,11.3,75,0,0,0,0,0.0,0
1,20,3,15.3,11.7,79,0,0,0,293,0.5,0
1,20,4,15.3,11.8,80,0,0,0,293,0.3,6
1,20,5,15.4,12.0,80,0,0,0,0,0.0,6
1,20,6,15.6,12.5,82,25,2,22,0,0.0,9
1,20,7,16.4,12.5,78,192,186,133,0,0.0,6
1,20,8,17.5,12.9,74,325,355,164,135,0.8,5
1,20,9,19.2,12.9,67,558,531,219,135,2.1,6
1,20,10,20.4,13.2,63,736,607,264,135,0.8,4
1,20,11,22.0,13.2,57,903,731,261,158,1.3,4
1,20,12,23.3,12.7,51,1033,614,458,158,1.0,9
1,20,13,24.8,12.9,48,981,631,383,158,3.5,9
1,20,14,25.6,12.4,44,1047,797,325,158,5.1,9
1,20,15,25.6,12.7,45,869,584,397,158,7.7,9
1,20,16,25.6,11.2,41,717,672,250,158,8.3,6
1,20,17,24.8,10.4,40,414,375,214,135,9.3,6
1,20,18,24.1,8.9,38,222,219,153,135,8.2,8
