Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,26.1,15.6,52,756,364,426,203,6.1,1
1,1,15,25.7,15.9,55,684,412,349,203,6.0,1
1,1,16,24.7,16.2,59,563,409,284,203,5.7,1
1,1,17,23.5,16.3,64,398,310,237,203,5.2,1
1,1,18,22.2,16.3,69,220,141,171,203,4.7,1
1,1,19,21.2,16.2,73,72,32,67,203,4.3,1
1,1,20,20.4,16.1,76,3,1,3,203,4.0,1
1,1,21,19.8,15.8,78,0,0,0,0,3.7,1
1,1,22,19.4,15.7,79,0,0,0,0,3.5,1
1,1,23,18.9,15.5,81,0,0,0,0,3.3,1
1,1,24,18.3,15.2,82,0,0,0,0,3.4,1
1,2,1,17.6,15.2,86,0,0,0,0,3.0,1
1,2,2,16.9,15.4,91,0,0,0,0,2.5,1
1,2,3,16.3,15.5,95,0,0,0,0,1.9,1
1,2,4,16.2,15.6,96,0,0,0,0,1.5,1
1,2,5,16.5,14.8,90,4,1,3,0,2.1,1
1,2,6,18.2,15.8,86,94,70,69,0,1.4,1
1,2,7,20.6,15.6,73,288,557,97,180,1.9,1
1,2,8,23.0,16.6,67,517,857,74,180,1.5,1
1,2,9,27.2,14.9,47,724,960,71,180,4.3,1
1,2,10,30.8,14.5,37,870,953,95,0,5.9,1
1,2,11,35.7,12.9,25,951,893,140,0,8.8,0
1,2,12,36.6,13.6,25,984,836,184,0,8.8,0
1,2,13,38.1,13.2,23,984,835,185,0,9.9,0
1,2,14,38.7,13.1,22,951,891,142,0,10.4,0
1,2,15,38.3,13.1,22,870,951,97,0,10.6,0
1,2,16,37.2,13.2,24,724,956,73,0,10.3,0
1,2,17,35.9,13.4,26,517,851,77,0,9.8,0
1,2,18,34.5,13.7,29,288,546,101,0,9.2,0
1,2,19,33.3,13.9,31,94,70,70,0,8.6,0
1,2,20,32.5,13.9,32,4,1,3,0,8.1,0
1,2,21,31.9,13.9,34,0,0,0,23,7.8,0
1,2,22,31.5,13.7,34,0,0,0,23,7.5,0
1,2,23,31.0,13.6,35,0,0,0,23,7.2,0
1,2,24,30.4,13.4,35,0,0,0,23,6.8,0
1,3,1,29.6,13.2,37,0,0,0,23,6.3,0
1,3,2,28.7,12.9,38,0,0,0,23,5.9,0
1,3,3,27.9,12.7,39,0,0,0,23,5.6,0
1,3,4,27.3,12.6,40,0,0,0,23,5.4,0
1,3,5,25.4,11.9,43,4,1,3,23,4.6,0
1,3,6,27.7,12.4,39,92,70,69,23,5.8,0
1,3,7,29.0,12.4,36,281,516,105,0,6.5,0
1,3,8,32.8,12.9,30,507,818,84,0,7.7,0
1,3,9,33.3,12.7,29,710,924,82,0,8.4,1
1,3,10,35.6,12.9,26,854,918,108,338,9.5,1
1,3,11,37.2,13.2,24,935,856,158,338,10.8,1
1,3,12,39.1,13.4,22,967,797,205,338,11.3,1
1,3,13,39.8,13.7,21,967,796,206,338,11.9,3
1,3,14,39.7,14.0,22,935,854,160,338,12.2,3
1,3,15,39.0,14.1,23,854,915,111,338,12.2,4
1,3,16,37.8,14.1,25,710,920,85,338,12.0,4
1,3,17,36.6,14.1,26,507,811,87,338,11.7,5
1,3,18,35.5,14.0,28,281,505,109,338,11.3,5
1,3,19,34.7,13.7,28,92,70,70,338,10.8,5
1,3,20,34.3,13.5,29,4,1,3,338,10.4,6
1,3,21,34.1,13.4,29,0,0,0,270,10.0,6
1,3,22,33.9,13.4,29,0,0,0,270,9.6,6
1,3,23,33.5,13.5,30,0,0,0,270,9.1,6
1,3,24,33.1,13.8,31,0,0,0,270,8.6,6
1,4,1,31.5,14.3,35,0,0,0,270,7.9,6
1,4,2,29.2,14.8,42,0,0,0,270,7.3,6
1,4,3,26.5,15.4,51,0,0,0,270,6.8,8
1,4,4,23.7,15.8,61,0,0,0,270,6.3,8
1,4,5,19.0,17.9,93,0,0,0,270,3.6,10
1,4,6,18.9,16.5,86,9,0,9,270,5.6,10
1,4,7,17.4,16.6,95,33,0,33,203,5.3,10
1,4,8,18.1,15.7,86,72,0,72,203,7.2,10
1,4,9,16.8,16.8,100,124,0,123,203,4.3,10
1,4,10,17.4,16.9,97,178,1,177,45,3.6,10
1,4,11,18.1,16.8,92,223,1,223,45,1.5,10
1,4,12,19.3,17.0,87,250,1,249,45,2.1,10
1,4,13,20.1,17.0,82,250,1,249,135,1.5,10
1,4,14,19.9,17.6,87,223,1,223,135,1.5,10
1,4,15,20.3,17.2,82,178,1,177,135,1.1,10
1,4,16,19.8,17.5,87,124,0,123,135,1.3,10
1,4,17,18.9,17.6,92,72,0,72,135,1.9,10
1,4,18,17.8,17.7,99,33,0,33,135,2.6,10
1,4,19,16.7,16.7,100,9,0,9,135,3.4,10
1,4,20,15.6,15.6,100,0,0,0,135,4.2,10
1,4,21,14.8,14.8,100,0,0,0,135,4.6,10
1,4,22,14.1,14.1,100,0,0,0,135,4.8,10
1,4,23,13.6,13.6,100,0,0,0,135,4.6,10
1,4,24,12.9,12.9,100,0,0,0,135,4.2,10
1,5,1,12.8,12.8,100,0,0,0,135,3.7,10
1,5,2,12.9,12.9,100,0,0,0,135,3.2,10
1,5,3,13.0,13.0,100,0,0,0,135,2.8,10
1,5,4,13.1,13.1,100,0,0,0,135,2.6,10
1,5,5,13.2,12.5,96,0,0,0,135,2.6,10
1,5,6,13.0,12.8,99,9,0,9,135,3.0,10
1,5,7,12.9,12.2,96,34,0,34,90,3.4,10
1,5,8,13.0,12.2,95,74,0,74,90,3.6,10
1,5,9,12.8,11.7,93,126,1,126,90,4.1,10
1,5,10,13.0,11.7,92,181,1,180,158,4.4,10
1,5,11,13.4,12.0,91,226,1,226,158,5.1,10
1,5,12,13.4,12.0,91,252,1,252,158,4.5,10
1,5,13,13.7,12.2,91,252,1,252,135,4.4,10
1,5,14,13.1,12.0,93,226,1,226,135,3.6,10
1,5,15,13.6,12.2,91,181,1,180,135,4.1,10
1,5,16,13.1,12.0,93,126,0,126,135,3.8,10
1,5,17,12.3,12.0,98,74,0,74,135,3.4,9
1,5,18,11.2,11.2,100,34,0,34,135,3.0,9
1,5,19,9.9,9.9,100,9,0,9,135,2.5,8
1,5,20,8.6,8.6,100,0,0,0,135,1.9,8
1,5,21,7.5,7.5,99,0,0,0,135,1.3,6
1,5,22,6.6,6.6,100,0,0,0,203,0.9,6
1,5,23,6.1,6.1,100,0,0,0,203,0.6,6
1,5,24,5.4,5.4,100,0,0,0,203,0.4,6
1,6,1,6.2,6.2,100,0,0,0,203,1.1,6
1,6,2,7.5,7.5,99,0,0,0,203,2.1,6
1,6,3,9.2,9.0,99,0,0,0,203,3.3,8
1,6,4,11.1,8.0,81,0,0,0,203,4.6,8
1,6,5,14.9,4.3,49,1,0,1,203,7.7,9
1,6,6,14.2,6.4,59,22,1,22,203,6.7,9
1,6,7,15.2,6.4,56,74,1,74,248,7.3,9
1,6,8,15.0,8.9,67,146,2,144,248,6.2,8
1,6,9,16.3,8.0,58,223,3,220,248,7.2,9
1,6,10,16.6,9.1,61,292,4,289,225,6.8,9
1,6,11,16.4,9.1,62,344,5,340,225,6.7,9
1,6,12,17.1,10.6,66,371,5,367,225,5.4,9
1,6,13,17.5,11.2,67,371,5,367,225,4.7,9
1,6,14,18.5,11.5,64,344,4,340,225,3.6,9
1,6,15,18.2,11.5,65,292,4,289,225,3.7,9
1,6,16,18.2,11.5,65,223,3,220,225,3.4,9
1,6,17,18.0,11.5,66,146,2,144,225,3.2,9
1,6,18,17.3,11.5,69,74,1,74,225,2.9,9
1,6,19,16.2,11.7,75,22,0,22,225,2.6,8
1,6,20,14.9,11.9,82,1,0,1,225,2.3,8
1,6,21,13.5,11.9,90,0,0,0,225,1.8,6
1,6,22,12.2,11.9,98,0,0,0,158,1.3,6
1,6,23,11.2,11.2,100,0,0,0,158,0.9,6
1,6,24,10.4,10.4,100,0,0,0,158,0.7,6
1,7,1,10.5,10.5,100,0,0,0,158,0.6,6
1,7,2,11.1,10.5,96,0,0,0,158,0.7,6
1,7,3,12.2,10.1,87,0,0,0,158,1.2,6
1,7,4,13.4,9.8,79,0,0,0,158,1.8,6
1,7,5,14.7,8.0,64,2,1,2,158,3.6,10
1,7,6,15.8,10.2,69,67,31,63,158,3.8,8
1,7,7,16.5,11.0,70,213,139,166,270,4.9,8
1,7,8,17.2,13.4,78,391,305,233,270,5.1,8
1,7,9,17.3,12.7,74,555,404,282,270,7.1,6
1,7,10,17.5,13.3,76,676,405,349,248,8.1,6
1,7,11,17.3,13.0,76,748,355,426,248,9.3,9
1,7,12,17.8,14.1,79,779,311,481,248,9.5,5
1,7,13,18.1,14.1,77,779,310,482,248,10.0,5
1,7,14,18.4,13.9,75,748,352,429,248,10.3,5
1,7,15,18.6,13.4,72,676,399,353,248,10.5,5
1,7,16,18.5,13.3,72,555,396,287,248,10.4,6
1,7,17,18.1,13.1,73,391,297,237,248,10.2,6
1,7,18,17.3,13.2,77,213,133,168,248,9.9,6
1,7,19,16.2,13.3,83,67,29,63,248,9.5,6
1,7,20,14.8,13.8,94,2,1,2,248,9.1,6
1,7,21,13.4,13.4,100,0,0,0,158,8.6,6
1,7,22,12.2,12.2,100,0,0,0,158,8.1,6
1,7,23,11.3,11.3,100,0,0,0,158,7.6,6
1,7,24,10.9,10.9,100,0,0,0,158,7.4,6
1,8,1,11.0,11.0,100,0,0,0,158,6.9,6
1,8,2,11.5,11.5,100,0,0,0,158,6.4,6
1,8,3,12.2,11.7,97,0,0,0,158,5.9,6
1,8,4,13.1,10.4,84,0,0,0,158,5.2,8
1,8,5,14.7,8.0,64,2,1,2,158,3.6,10
1,8,6,14.8,8.2,65,65,26,61,158,4.0,10
1,8,7,15.5,7.5,59,206,116,166,180,3.6,10
1,8,8,15.7,8.2,61,378,260,244,180,4.1,10
1,8,9,16.3,7.8,57,539,350,302,180,3.3,10
1,8,10,16.6,8.4,58,657,353,372,135,3.4,10
1,8,11,16.6,9.1,61,728,309,449,135,3.6,10
1,8,12,17.2,9.7,61,759,270,501,135,4.1,10
1,8,13,17.5,10.0,61,759,269,502,135,4.6,10
1,8,14,17.8,10.2,61,728,306,452,135,4.9,10
1,8,15,17.8,10.2,61,657,348,376,135,5.0,10
1,8,16,17.7,10.0,61,539,343,307,135,4.9,10
1,8,17,17.2,9.9,62,378,253,248,135,4.6,10
1,8,18,16.4,9.7,65,206,111,168,135,4.1,10
1,8,19,15.3,9.7,69,65,25,61,135,3.5,10
1,8,20,14.1,9.7,75,2,1,2,135,2.9,10
1,8,21,12.8,9.7,81,0,0,0,113,2.3,10
1,8,22,11.7,9.9,89,0,0,0,113,2.0,10
1,8,23,10.9,9.9,94,0,0,0,113,1.8,10
1,8,24,10.6,9.7,94,0,0,0,113,1.7,10
1,9,1,10.5,10.1,97,0,0,0,113,1.9,10
1,9,2,10.9,10.2,95,0,0,0,113,2.1,10
1,9,3,11.4,10.2,92,0,0,0,113,2.3,10
1,9,4,12.2,10.2,88,0,0,0,113,2.4,10
1,9,5,14.4,10.8,79,2,0,2,113,3.6,10
1,9,6,14.0,10.4,79,88,64,65,113,2.5,6
1,9,7,15.0,10.6,75,281,558,94,90,2.4,5
1,9,8,14.5,10.8,78,512,863,71,90,1.5,9
1,9,9,16.9,11.1,69,720,967,68,90,2.3,4
1,9,10,17.9,11.5,66,868,961,91,315,2.3,3
1,9,11,19.6,12.0,61,950,901,135,315,2.6,1
1,9,12,19.7,12.3,62,982,844,178,315,2.7,1
1,9,13,20.5,12.7,61,982,843,179,315,3.0,1
1,9,14,21.0,12.8,59,950,899,137,315,3.3,1
1,9,15,21.1,12.8,59,868,959,93,315,3.6,1
1,9,16,21.0,12.8,59,720,964,70,315,3.7,1
1,9,17,20.5,12.8,61,512,857,74,315,3.7,1
1,9,18,19.6,12.6,64,281,547,98,315,3.4,1
1,9,19,18.4,12.5,68,88,64,66,315,3.0,1
1,9,20,17.1,12.5,74,2,0,2,315,2.4,1
1,9,21,15.8,12.5,81,0,0,0,23,1.8,1
1,9,22,14.6,12.7,88,0,0,0,23,1.1,1
1,9,23,13.7,12.8,94,0,0,0,23,0.6,1
1,9,24,12.9,12.8,99,0,0,0,0,0.0,1
1,10,1,12.7,12.7,100,0,0,0,0,0.0,1
1,10,2,13.1,13.0,99,0,0,0,0,0.0,1
1,10,3,13.9,12.9,94,0,0,0,23,0.3,1
1,10,4,15.2,12.8,86,0,0,0,23,1.0,1
1,10,5,16.6,13.2,80,2,0,2,23,1.0,1
1,10,6,19.0,12.1,64,83,63,65,23,2.7,5
1,10,7,21.4,11.7,54,267,468,111,0,3.6,4
1,10,8,23.6,11.1,45,489,774,94,0,5.1,6
1,10,9,26.5,11.2,38,690,886,93,0,5.4,3
1,10,10,28.9,11.1,33,833,880,122,0,6.1,3
1,10,11,32.0,10.7,27,913,816,176,0,6.7,1
1,10,12,32.6,10.9,26,945,756,226,0,7.3,3
1,10,13,33.7,11.0,25,945,755,227,0,7.6,3
1,10,14,34.2,11.0,24,913,814,178,0,7.9,3
1,10,15,34.2,11.2,25,833,877,125,0,7.9,4
1,10,16,33.6,11.4,26,690,882,96,0,7.9,4
1,10,17,32.6,11.4,27,489,767,97,0,7.7,5
1,10,18,31.4,11.6,30,267,457,115,0,7.3,5
1,10,19,30.2,11.6,32,83,63,66,0,6.8,6
1,10,20,28.9,11.7,35,2,0,2,0,6.3,6
1,10,21,27.9,11.8,37,0,0,0,0,5.7,6
1,10,22,27.1,11.8,39,0,0,0,0,5.2,6
1,10,23,26.5,11.6,39,0,0,0,0,4.8,6
1,10,24,26.3,11.4,39,0,0,0,0,4.5,6
1,11,1,26.0,10.9,39,0,0,0,0,4.3,6
1,11,2,25.8,10.3,38,0,0,0,0,4.3,6
1,11,3,25.7,9.7,36,0,0,0,0,4.4,6
1,11,4,25.9,8.9,34,0,0,0,0,4.7,6
1,11,5,26.7,6.7,28,1,0,1,0,4.6,8
1,11,6,27.4,7.1,28,63,27,59,0,5.9,8
1,11,7,28.7,6.2,24,205,123,164,0,6.6,8
1,11,8,30.4,6.2,22,379,275,239,0,8.2,8
1,11,9,32.0,5.4,19,541,369,293,0,8.3,6
1,11,10,33.7,5.4,17,661,371,362,0,9.0,5
1,11,11,34.8,5.9,17,733,325,440,0,9.3,6
1,11,12,36.0,5.9,16,763,285,493,0,10.1,5
1,11,13,36.5,6.6,16,763,284,494,0,10.4,5
1,11,14,36.5,7.1,17,733,322,442,0,10.5,5
1,11,15,36.0,7.3,17,661,366,366,0,10.5,5
1,11,16,35.4,7.5,18,541,362,298,0,10.3,6
1,11,17,34.6,7.3,19,379,267,243,0,10.0,6
1,11,18,33.8,7.1,19,205,117,166,0,9.6,6
1,11,19,33.1,6.9,20,63,26,59,0,9.2,6
1,11,20,32.6,6.4,20,1,0,1,0,8.9,6
1,11,21,32.0,6.2,20,0,0,0,225,8.5,6
1,11,22,31.4,5.9,20,0,0,0,225,8.2,6
1,11,23,30.5,6.2,22,0,0,0,225,7.9,6
1,11,24,30.1,6.4,23,0,0,0,225,7.8,6
1,12,1,28.3,7.1,26,0,0,0,225,7.3,6
1,12,2,26.1,7.8,31,0,0,0,225,6.8,6
1,12,3,23.6,8.7,39,0,0,0,225,6.2,6
1,12,4,21.3,9.5,47,0,0,0,225,5.5,6
1,12,5,16.7,11.1,70,2,0,2,225,4.6,9
1,12,6,17.9,10.7,63,88,60,61,225,4.6,5
1,12,7,17.3,11.1,67,286,623,81,203,4.4,5
1,12,8,18.8,11.5,63,525,925,56,203,5.1,5
1,12,9,17.9,11.7,67,740,1025,52,203,4.8,3
1,12,10,18.9,11.7,63,891,1019,70,203,5.2,3
1,12,11,19.8,11.0,57,975,963,108,203,5.1,1
1,12,12,20.9,12.0,57,1008,908,144,203,6.4,1
1,12,13,21.5,12.2,55,1008,908,145,203,7.0,1
1,12,14,21.0,13.0,60,975,961,109,203,7.7,1
1,12,15,21.3,12.5,57,891,1017,72,203,7.6,3
1,12,16,20.7,12.8,61,740,1022,54,203,7.6,4
1,12,17,19.8,13.0,65,525,920,58,203,7.5,4
1,12,18,18.9,13.3,70,286,613,84,203,7.3,5
1,12,19,17.9,13.5,75,88,60,62,203,6.9,6
1,12,20,17.0,13.6,80,2,0,2,203,6.5,6
1,12,21,16.3,13.6,84,0,0,0,203,6.1,6
1,12,22,15.5,13.5,88,0,0,0,135,5.6,6
1,12,23,14.7,13.3,91,0,0,0,135,5.2,6
1,12,24,14.2,13.0,92,0,0,0,135,5.0,6
1,13,1,13.4,12.4,94,0,0,0,135,4.4,6
1,13,2,12.6,11.8,95,0,0,0,135,3.8,5
1,13,3,12.1,11.3,95,0,0,0,135,3.1,5
1,13,4,11.8,10.8,94,0,0,0,135,2.5,4
1,13,5,11.0,9.0,87,2,0,1,135,1.0,0
1,13,6,12.9,10.4,85,88,59,59,135,1.8,3
1,13,7,14.2,10.6,79,288,647,76,180,1.8,3
1,13,8,16.8,11.7,72,530,947,51,180,3.1,1
1,13,9,17.9,11.7,67,747,1045,47,180,2.7,1
1,13,10,19.8,12.4,62,900,1040,64,135,3.4,1
1,13,11,21.5,13.0,58,984,984,99,135,3.6,0
1,13,12,22.8,13.5,56,1018,931,133,135,4.9,0
1,13,13,23.5,13.9,55,1018,930,134,203,5.4,0
1,13,14,22.8,14.2,58,984,983,100,203,5.7,0
1,13,15,23.2,14.5,58,900,1038,65,203,5.8,3
1,13,16,22.4,14.5,61,747,1043,48,203,5.7,4
1,13,17,21.5,14.5,64,530,943,53,203,5.4,4
1,13,18,20.5,14.5,68,288,637,79,203,5.0,5
1,13,19,19.5,14.4,72,88,59,60,203,4.7,6
1,13,20,18.7,14.3,76,2,0,1,203,4.3,6
1,13,21,18.0,14.1,78,0,0,0,203,4.0,6
1,13,22,17.3,14.1,81,0,0,0,135,3.7,6
1,13,23,16.6,14.1,85,0,0,0,135,3.3,6
1,13,24,16.0,14.1,88,0,0,0,135,3.1,6
1,14,1,15.5,14.1,91,0,0,0,135,2.6,6
1,14,2,15.1,13.9,93,0,0,0,135,2.1,6
1,14,3,15.0,14.1,94,0,0,0,135,1.5,5
1,14,4,15.1,14.1,94,0,0,0,135,1.0,5
1,14,5,15.0,13.9,93,1,0,1,135,0.5,1
1,14,6,16.5,14.8,90,81,58,61,135,0.7,4
1,14,7,17.7,15.2,85,270,522,99,180,1.1,4
1,14,8,20.1,16.5,80,498,834,77,180,1.5,3
1,14,9,20.9,16.5,76,705,943,74,180,2.7,3
1,14,10,22.4,17.0,72,852,937,99,225,3.9,3
1,14,11,23.5,17.0,67,933,876,146,225,5.7,4
1,14,12,24.8,17.6,64,966,817,190,225,6.1,3
1,14,13,25.4,17.7,62,966,817,191,225,6.8,3
1,14,14,25.5,17.6,62,933,874,148,225,7.3,3
1,14,15,25.1,17.5,63,852,934,101,225,7.3,4
1,14,16,24.4,17.4,65,705,939,77,225,7.1,4
1,14,17,23.5,17.2,68,498,828,80,225,6.6,4
1,14,18,22.5,17.2,72,270,512,102,225,6.1,5
1,14,19,21.6,17.4,77,81,58,62,225,5.5,5
1,14,20,20.7,17.5,82,1,0,1,225,5.0,6
1,14,21,20.0,17.8,87,0,0,0,180,4.6,6
1,14,22,19.3,17.9,92,0,0,0,180,4.3,6
1,14,23,18.7,17.9,95,0,0,0,180,4.1,6
1,14,24,18.2,18.0,99,0,0,0,180,3.9,6
1,15,1,17.6,17.6,100,0,0,0,180,3.8,6
1,15,2,17.1,17.1,100,0,0,0,180,3.7,6
1,15,3,16.5,16.4,99,0,0,0,180,3.6,6
1,15,4,16.1,15.4,96,0,0,0,180,3.5,6
1,15,5,15.6,14.1,91,1,0,1,180,3.6,9
1,15,6,15.7,13.3,86,68,52,60,180,3.5,9
1,15,7,15.9,12.4,80,230,259,145,158,3.8,9
1,15,8,16.5,11.9,74,428,519,166,158,4.1,9
1,15,9,17.0,11.2,69,611,641,183,158,4.9,5
1,15,10,17.8,11.2,65,743,637,231,203,5.7,5
1,15,11,18.6,11.0,61,819,572,305,203,6.7,6
1,15,12,19.4,11.4,60,850,513,364,203,7.1,4
1,15,13,19.9,11.5,58,850,512,365,203,7.7,4
1,15,14,20.2,11.7,58,819,569,308,203,8.0,4
1,15,15,20.2,11.7,58,743,632,236,203,8.1,4
1,15,16,19.8,11.9,60,611,634,187,203,7.9,5
1,15,17,19.1,11.7,62,428,509,171,203,7.6,5
1,15,18,18.1,11.7,66,230,251,148,203,7.1,6
1,15,19,17.1,11.7,71,68,49,61,203,6.6,6
1,15,20,15.9,11.7,76,1,0,1,203,6.2,6
1,15,21,14.9,11.7,81,0,0,0,135,5.8,6
1,15,22,13.9,11.9,88,0,0,0,135,5.4,6
1,15,23,13.2,11.9,92,0,0,0,135,5.1,6
1,15,24,12.5,11.9,96,0,0,0,135,4.6,6
1,16,1,12.2,11.7,97,0,0,0,135,4.4,6
1,16,2,12.3,11.5,95,0,0,0,135,4.1,5
1,16,3,12.7,11.2,91,0,0,0,135,3.9,5
1,16,4,13.2,10.6,84,0,0,0,135,3.7,6
1,16,5,13.4,10.1,80,1,0,1,135,2.6,3
1,16,6,14.7,9.5,71,58,25,54,135,3.5,6
1,16,7,15.5,8.9,65,198,116,160,180,3.6,6
1,16,8,17.1,8.2,56,371,264,238,180,4.6,9
1,16,9,17.4,8.0,54,533,358,294,180,4.2,6
1,16,10,18.3,8.0,51,653,361,364,180,4.6,6
1,16,11,18.8,8.0,49,724,316,441,180,5.1,8
1,16,12,19.8,8.2,47,755,277,493,180,5.8,5
1,16,13,20.2,8.5,47,755,276,494,180,6.2,5
1,16,14,20.4,8.7,47,724,313,443,180,6.5,5
1,16,15,20.3,9.1,49,653,356,368,180,6.5,5
1,16,16,19.9,9.1,50,533,351,299,180,6.4,6
1,16,17,19.2,9.3,53,371,256,241,180,6.0,6
1,16,18,18.3,9.1,55,198,110,161,180,5.5,6
1,16,19,17.2,9.1,59,58,24,54,180,4.9,6
1,16,20,16.0,8.9,63,1,0,1,180,4.3,6
1,16,21,14.9,8.9,67,0,0,0,180,3.9,6
1,16,22,14.0,8.7,70,0,0,0,180,3.5,6
1,16,23,13.4,8.7,73,0,0,0,180,3.4,6
1,16,24,12.7,8.5,76,0,0,0,180,3.3,6
1,17,1,12.7,8.7,77,0,0,0,180,3.4,6
1,17,2,13.0,8.9,76,0,0,0,180,3.6,6
1,17,3,13.5,9.1,75,0,0,0,180,3.8,8
1,17,4,14.2,9.4,73,0,0,0,180,4.0,8
1,17,5,15.3,9.8,70,0,0,0,180,5.1,10
1,17,6,15.5,10.4,72,28,1,28,180,4.3,10
1,17,7,16.2,10.8,70,99,4,97,158,4.5,10
1,17,8,16.6,11.7,73,193,8,189,158,4.1,10
1,17,9,17.4,11.5,68,289,12,282,158,5.0,10
1,17,10,17.9,11.9,68,371,14,360,203,5.5,10
1,17,11,18.5,11.5,64,427,14,414,203,6.2,10
1,17,12,19.1,12.0,63,455,13,442,203,6.5,9
1,17,13,19.6,12.2,62,455,13,442,203,7.0,8
1,17,14,19.9,12.0,60,427,14,414,203,7.3,8
1,17,15,20.0,12.0,60,371,13,360,203,7.5,8
1,17,16,19.7,12.0,61,289,11,282,203,7.4,8
1,17,17,19.2,12.0,63,193,8,189,203,7.2,8
1,17,18,18.3,12.2,68,99,4,97,203,6.7,8
1,17,19,17.1,12.4,74,28,1,28,203,6.2,8
1,17,20,15.8,12.5,81,0,0,0,203,5.7,8
1,17,21,14.6,12.5,87,0,0,0,180,5.2,6
1,17,22,13.5,12.7,95,0,0,0,180,4.8,6
1,17,23,12.8,12.5,98,0,0,0,180,4.5,6
1,17,24,12.2,12.2,100,0,0,0,180,4.3,6
1,18,1,12.2,11.8,97,0,0,0,180,4.2,6
1,18,2,12.6,11.5,93,0,0,0,180,4.2,6
1,18,3,13.3,10.7,84,0,0,0,180,4.2,6
1,18,4,14.1,10.2,77,0,0,0,180,4.1,6
1,18,5,15.3,8.7,65,1,0,0,180,4.1,9
1,18,6,15.7,9.4,66,61,37,55,180,3.7,9
1,18,7,16.5,9.4,63,211,180,153,180,3.5,9
1,18,8,17.0,10.0,63,398,391,202,180,3.6,9
1,18,9,17.7,10.0,61,571,506,235,180,3.5,9
1,18,10,18.4,10.5,60,698,506,294,225,3.7,9
1,18,11,19.1,11.3,61,772,448,371,225,3.6,9
1,18,12,19.7,11.8,60,803,396,429,225,4.6,5
1,18,13,20.3,12.4,60,803,395,430,225,5.2,5
1,18,14,20.5,12.8,61,772,444,374,225,6.2,8
1,18,15,21.3,13.1,59,698,501,298,225,5.8,8
1,18,16,21.4,13.1,59,571,499,240,135,5.8,8
1,18,17,21.8,12.4,55,398,382,206,135,5.1,8
1,18,18,20.6,12.6,60,211,173,155,135,4.9,6
1,18,19,19.7,12.3,62,61,35,56,135,4.2,6
1,18,20,18.6,11.9,65,1,0,0,135,3.4,6
1,18,21,17.5,11.8,69,0,0,0,135,2.8,6
1,18,22,16.4,11.8,74,0,0,0,135,2.3,6
1,18,23,15.5,12.0,80,0,0,0,135,2.0,6
1,18,24,14.9,11.9,82,0,0,0,135,1.8,6
1,19,1,14.5,12.4,87,0,0,0,135,1.8,6
1,19,2,14.5,13.2,92,0,0,0,135,2.0,6
1,19,3,14.8,13.9,94,0,0,0,135,2.1,6
1,19,4,15.4,14.3,93,0,0,0,135,2.3,8
1,19,5,16.2,15.6,96,0,0,0,135,2.6,10
1,19,6,17.0,14.9,87,63,46,56,135,2.3,10
1,19,7,17.9,14.9,83,222,242,144,68,2.3,10
1,19,8,18.6,14.6,78,418,497,170,68,2.1,10
1,19,9,19.9,14.6,72,600,620,189,68,2.3,5
1,19,10,20.9,14.4,66,732,618,239,0,2.5,4
1,19,11,22.0,14.0,60,807,553,313,0,2.6,3
1,19,12,22.5,14.4,60,839,495,372,0,3.2,3
1,19,13,23.2,14.4,58,839,494,373,225,3.7,3
1,19,14,23.5,15.1,59,807,550,316,225,4.6,1
1,19,15,23.7,15.0,58,732,613,243,225,4.6,1
1,19,16,23.4,15.2,60,600,613,193,225,4.8,1
1,19,17,22.9,15.4,63,418,487,175,225,4.8,1
1,19,18,22.0,15.5,67,222,233,146,225,4.5,1
1,19,19,20.9,15.5,71,63,44,56,225,4.0,1
1,19,20,19.7,15.4,76,0,0,0,225,3.3,1
1,19,21,18.5,15.3,82,0,0,0,225,2.6,1
1,19,22,17.4,15.1,86,0,0,0,23,2.0,1
1,19,23,16.5,15.0,91,0,0,0,23,1.5,1
1,19,24,16.0,14.7,92,0,0,0,23,1.0,1
1,20,1,15.7,14.8,94,0,0,0,23,1.0,1
1,20,2,15.6,15.0,96,0,0,0,23,1.2,1
1,20,3,15.8,15.1,96,0,0,0,23,1.6,1
1,20,4,16.3,15.2,93,0,0,0,23,2.0,1
1,20,5,16.3,15.1,93,0,0,0,23,2.1,1
1,20,6,17.6,15.2,86,69,49,56,23,3.0,1
1,20,7,18.5,14.9,80,247,423,113,270,3.3,1
1,20,8,20.2,15.0,72,466,737,100,270,3.6,1
1,20,9,20.3,13.9,67,666,857,100,270,3.6,1
1,20,10,21.3,13.2,60,809,852,131,248,3.7,1
1,20,11,21.5,12.0,55,890,787,187,248,4.1,1
1,20,12,22.9,12.0,50,922,725,238,248,3.8,3
1,20,13,23.4,11.7,48,922,724,239,225,3.9,3
1,20,14,23.8,12.0,48,890,784,190,225,3.6,5
1,20,15,23.7,11.7,47,809,848,134,225,4.0,4
1,20,16,23.4,12.0,49,666,852,103,225,3.9,5
1,20,17,22.9,12.2,51,466,730,104,225,3.6,5
1,20,18,22.0,12.3,54,247,412,116,225,3.2,6
