Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,24.0,14.0,54,992,898,165,70,5.1,3
1,1,15,24.4,14.4,54,863,882,139,70,5.1,2
1,1,16,24.0,15.0,57,677,791,141,70,5.1,2
1,1,17,24.0,16.0,61,456,636,135,70,5.1,2
1,1,18,23.0,15.0,61,227,357,115,50,5.7,2
1,1,19,23.0,16.0,65,43,30,40,20,4.6,2
1,1,20,22.0,16.0,69,0,0,0,20,4.1,1
1,1,21,22.0,16.2,70,0,0,0,20,4.1,1
1,1,22,22.0,17.0,73,0,0,0,10,1.0,1
1,1,23,22.0,17.0,73,0,0,0,10,0.5,1
1,1,24,21.0,16.0,73,0,0,0,10,0.5,1
1,2,1,20.5,16.8,79,0,0,0,10,0.2,1
1,2,2,20.0,17.0,83,0,0,0,0,0.0,1
1,2,3,19.8,17.1,84,0,0,0,0,0.0,1
1,2,4,19.0,17.0,88,0,0,0,0,0.0,1
1,2,5,18.0,15.0,83,1,0,1,280,1.0,1
1,2,6,17.9,14.9,83,50,47,44,280,1.0,1
1,2,7,21.0,17.0,78,238,348,125,300,1.0,1
1,2,8,23.0,15.0,61,470,562,181,100,1.0,1
1,2,9,23.0,14.6,59,691,792,147,310,1.0,1
1,2,10,27.0,9.0,32,883,868,165,280,5.1,1
1,2,11,28.0,7.0,26,1017,960,128,310,5.1,1
1,2,12,28.4,7.4,27,1083,962,145,310,3.1,1
1,2,13,30.0,7.0,24,1082,964,143,220,2.6,1
1,2,14,32.0,7.0,21,1012,960,127,240,2.1,1
1,2,15,31.8,6.6,21,879,902,138,240,2.1,1
1,2,16,29.0,0.0,15,697,870,106,240,2.1,1
1,2,17,27.0,6.5,27,465,644,139,70,3.6,2
1,2,18,26.0,13.0,45,228,359,116,40,2.6,2
1,2,19,23.0,19.0,78,43,33,40,190,9.3,3
1,2,20,21.0,20.0,94,0,0,0,160,10.3,4
1,2,21,21.5,20.2,92,0,0,0,160,10.3,7
1,2,22,21.0,15.0,69,0,0,0,150,9.3,7
1,2,23,21.0,14.0,64,0,0,0,150,8.2,8
1,2,24,20.0,15.0,73,0,0,0,160,7.2,8
1,3,1,19.0,15.0,78,0,0,0,160,6.2,8
1,3,2,19.0,15.0,78,0,0,0,180,9.3,9
1,3,3,19.1,14.9,77,0,0,0,180,9.3,9
1,3,4,20.0,16.0,78,0,0,0,180,9.3,9
1,3,5,19.0,13.0,68,0,0,0,150,5.7,9
1,3,6,19.3,12.8,66,26,0,26,150,5.7,9
1,3,7,20.0,13.0,64,127,8,124,170,3.1,9
1,3,8,20.0,16.0,78,250,28,236,150,2.1,9
1,3,9,19.7,14.0,70,370,65,326,150,3.6,9
1,3,10,20.8,13.7,64,469,82,401,150,1.8,9
1,3,11,22.0,13.0,57,540,100,447,0,0.0,9
1,3,12,21.9,13.0,57,576,100,478,0,0.0,9
1,3,13,22.0,13.0,57,484,64,422,60,2.6,9
1,3,14,22.0,13.0,57,358,17,342,60,2.1,10
1,3,15,21.8,13.0,57,218,2,216,60,2.1,10
1,3,16,23.0,13.0,53,209,2,207,60,5.1,10
1,3,17,22.0,13.0,57,165,1,164,60,5.1,10
1,3,18,22.0,14.0,60,93,0,93,50,4.1,9
1,3,19,22.0,14.0,60,20,0,20,40,5.1,9
1,3,20,21.0,14.0,64,0,0,0,40,5.1,9
1,3,21,21.4,14.4,64,0,0,0,40,5.1,9
1,3,22,22.0,14.0,60,0,0,0,30,7.2,9
1,3,23,22.0,16.0,69,0,0,0,20,5.7,9
1,3,24,22.0,16.0,69,0,0,0,20,5.1,9
1,4,1,22.0,16.0,69,0,0,0,30,7.7,9
1,4,2,22.0,16.0,69,0,0,0,10,7.2,9
1,4,3,22.0,16.2,70,0,0,0,10,7.2,9
1,4,4,22.0,17.0,73,0,0,0,10,7.2,9
1,4,5,21.0,18.0,83,0,0,0,350,1.5,9
1,4,6,21.0,18.1,84,25,0,25,350,1.5,9
1,4,7,23.0,18.0,73,125,18,119,350,3.1,9
1,4,8,23.0,17.0,69,249,63,217,340,3.1,9
1,4,9,23.4,17.2,68,367,41,339,340,3.1,9
1,4,10,25.2,16.9,60,588,227,401,340,3.6,8
1,4,11,27.0,16.0,51,784,346,464,330,4.1,7
1,4,12,26.6,16.3,53,920,488,444,330,4.1,6
1,4,13,27.0,18.0,58,879,527,365,40,5.1,7
1,4,14,27.0,19.0,62,779,399,410,30,7.2,7
1,4,15,27.0,18.8,61,633,303,384,30,7.2,7
1,4,16,23.0,18.0,73,499,141,403,30,7.2,7
1,4,17,24.0,16.0,61,352,154,274,20,7.2,7
1,4,18,23.0,18.0,73,181,146,135,30,7.2,7
1,4,19,23.0,19.0,78,36,0,36,360,7.2,7
1,4,20,22.0,17.0,73,0,0,0,310,3.1,6
1,4,21,22.2,17.0,72,0,0,0,310,3.1,6
1,4,22,21.0,16.0,73,0,0,0,290,1.0,5
1,4,23,21.0,15.0,69,0,0,0,0,0.0,4
1,4,24,19.0,15.0,78,0,0,0,110,1.0,3
1,5,1,19.0,15.0,78,0,0,0,0,0.0,2
1,5,2,19.0,16.0,83,0,0,0,0,0.0,1
1,5,3,19.0,15.6,81,0,0,0,0,0.0,0
1,5,4,18.0,15.0,83,0,0,0,0,0.0,2
1,5,5,18.0,15.0,83,0,0,0,0,0.0,4
1,5,6,17.9,15.3,85,39,0,39,0,0.0,6
1,5,7,20.0,16.0,78,199,267,115,0,0.0,6
1,5,8,22.0,16.0,69,398,398,195,210,1.0,6
1,5,9,21.8,15.7,68,589,476,265,210,1.0,6
1,5,10,22.1,16.7,71,732,411,394,210,3.8,6
1,5,11,22.3,17.6,74,823,528,336,160,6.7,7
1,5,12,22.6,18.4,77,856,482,387,160,6.7,7
1,5,13,22.0,17.0,73,834,422,423,150,6.7,7
1,5,14,23.0,18.0,73,756,369,416,160,7.2,7
1,5,15,22.7,18.1,75,634,216,457,160,7.2,7
1,5,16,21.0,18.0,83,499,141,403,160,7.2,7
1,5,17,21.0,18.0,83,337,174,249,170,3.6,7
1,5,18,21.0,18.0,83,168,106,135,180,3.1,7
1,5,19,21.0,17.0,78,33,0,33,160,5.1,7
1,5,20,21.0,18.0,83,0,0,0,170,3.1,7
1,5,21,21.5,18.3,82,0,0,0,170,3.1,7
1,5,22,21.0,18.0,83,0,0,0,170,6.7,7
1,5,23,21.0,18.0,83,0,0,0,160,6.2,7
1,5,24,21.0,18.0,83,0,0,0,160,7.7,7
1,6,1,21.0,18.0,83,0,0,0,160,7.7,7
1,6,2,21.0,17.0,78,0,0,0,170,7.2,7
1,6,3,21.0,16.9,77,0,0,0,170,7.2,7
1,6,4,21.0,17.0,78,0,0,0,170,7.7,7
1,6,5,20.0,17.0,83,0,0,0,170,9.3,7
1,6,6,20.0,17.1,83,32,0,32,170,9.3,7
1,6,7,20.0,16.0,78,167,115,131,170,7.2,7
1,6,8,21.0,16.0,73,416,370,228,170,7.7,6
1,6,9,21.0,16.0,73,666,683,202,170,7.7,4
1,6,10,21.5,15.7,69,847,807,185,170,8.2,4
1,6,11,22.0,15.0,64,977,851,193,170,8.8,4
1,6,12,22.0,14.9,64,1045,853,214,170,8.7,4
1,6,13,21.0,14.0,64,982,573,423,170,8.2,5
1,6,14,21.0,13.0,60,786,357,456,170,9.3,7
1,6,15,21.2,13.4,61,467,115,373,170,9.3,9
1,6,16,21.0,15.0,69,367,64,323,170,9.3,9
1,6,17,21.0,15.0,69,354,234,234,170,7.7,7
1,6,18,21.0,14.0,64,208,278,120,170,8.2,6
1,6,19,21.0,13.0,60,44,28,41,180,9.3,4
1,6,20,20.0,13.0,64,0,0,0,180,5.1,3
1,6,21,20.2,13.4,65,0,0,0,180,5.1,1
1,6,22,20.0,13.0,64,0,0,0,170,8.8,1
1,6,23,20.0,12.0,60,0,0,0,160,7.2,2
1,6,24,20.0,13.0,64,0,0,0,170,4.6,2
1,7,1,19.0,14.0,73,0,0,0,200,4.1,2
1,7,2,18.0,13.0,73,0,0,0,220,4.1,2
1,7,3,18.2,13.0,72,0,0,0,220,4.1,2
1,7,4,20.0,15.0,73,0,0,0,160,4.1,4
1,7,5,17.0,13.0,77,0,0,0,230,3.1,5
1,7,6,17.5,13.3,76,36,0,36,230,3.1,6
1,7,7,18.0,14.0,77,195,264,113,230,4.1,6
1,7,8,19.0,14.0,73,395,400,193,210,3.1,6
1,7,9,18.6,14.3,76,587,479,262,210,3.1,6
1,7,10,19.8,14.5,71,795,609,295,210,4.1,5
1,7,11,21.0,14.7,67,953,683,324,210,5.2,5
1,7,12,22.2,14.8,63,1044,810,256,180,6.2,4
1,7,13,23.0,15.0,61,1053,878,198,160,5.1,3
1,7,14,23.0,14.0,57,993,898,165,160,6.2,3
1,7,15,23.1,14.2,57,866,884,139,160,6.2,2
1,7,16,23.0,15.0,61,683,796,140,150,4.6,2
1,7,17,23.0,14.0,57,463,684,115,160,4.1,2
1,7,18,22.0,14.0,60,232,365,116,130,3.1,2
1,7,19,21.0,14.0,64,45,36,41,140,3.1,2
1,7,20,21.0,14.0,64,0,0,0,140,2.1,1
1,7,21,20.9,14.5,67,0,0,0,140,2.1,1
1,7,22,20.0,13.0,64,0,0,0,160,1.0,1
1,7,23,20.0,14.0,68,0,0,0,0,0.0,1
1,7,24,18.0,14.0,77,0,0,0,0,0.0,1
1,8,1,18.0,14.0,77,0,0,0,0,0.0,1
1,8,2,18.0,13.9,77,0,0,0,0,0.2,1
1,8,3,18.0,13.8,76,0,0,0,260,0.5,1
1,8,4,17.0,14.0,82,0,0,0,260,0.5,1
1,8,5,17.0,14.0,82,0,0,0,0,0.0,2
1,8,6,17.1,14.2,83,39,17,38,0,0.0,4
1,8,7,19.5,14.2,71,216,310,121,0,1.0,4
1,8,8,22.0,14.0,60,435,569,149,310,2.1,5
1,8,9,22.4,14.2,60,636,658,192,310,2.1,5
1,8,10,24.7,14.1,52,746,520,320,310,2.1,6
1,8,11,27.0,14.0,45,733,279,476,360,2.1,7
1,8,12,27.2,13.9,44,573,90,486,360,2.1,9
1,8,13,27.0,17.0,54,571,98,476,20,3.1,9
1,8,14,29.0,17.0,48,535,98,445,40,3.1,9
1,8,15,28.5,17.5,51,465,55,420,40,3.1,9
1,8,16,27.0,18.0,58,366,36,341,40,3.1,9
1,8,17,25.0,18.0,65,323,174,235,30,8.2,8
1,8,18,27.0,17.0,54,189,128,149,20,2.6,7
1,8,19,28.0,11.0,35,41,10,40,350,4.6,6
1,8,20,27.0,13.0,42,0,0,0,330,3.6,5
1,8,21,26.9,18.5,60,0,0,0,330,3.6,4
1,8,22,21.0,18.0,83,0,0,0,180,12.4,4
1,8,23,21.0,18.0,83,0,0,0,180,10.3,3
1,8,24,20.0,17.0,83,0,0,0,170,9.3,3
1,9,1,20.0,17.0,83,0,0,0,160,9.3,3
1,9,2,20.0,15.0,73,0,0,0,180,7.2,3
1,9,3,19.8,15.3,75,0,0,0,180,7.2,2
1,9,4,18.4,14.7,79,0,0,0,180,3.8,2
1,9,5,17.0,13.0,77,0,0,0,270,0.5,2
1,9,6,17.2,13.5,79,39,18,37,270,0.5,2
1,9,7,20.0,9.0,49,222,302,130,240,3.1,2
1,9,8,21.0,10.0,49,455,584,163,260,4.1,1
1,9,9,20.9,10.2,50,680,755,171,260,4.1,1
1,9,10,22.9,9.6,43,869,863,164,260,3.1,1
1,9,11,25.0,5.0,28,1010,955,133,290,2.1,1
1,9,12,25.1,8.2,34,1076,958,145,290,2.1,1
1,9,13,25.0,10.0,39,1075,951,150,50,5.7,1
1,9,14,25.0,12.0,44,1005,932,145,70,5.7,1
1,9,15,25.0,11.9,44,874,907,127,70,5.7,1
1,9,16,25.0,11.9,44,689,817,132,70,5.7,1
1,9,17,24.0,13.0,50,466,658,130,40,5.7,1
1,9,18,23.0,15.0,61,232,365,116,20,7.7,1
1,9,19,23.0,16.0,65,46,36,41,20,6.7,1
1,9,20,22.0,16.0,69,0,0,0,360,2.1,1
1,9,21,22.3,16.4,69,0,0,0,360,2.1,1
1,9,22,21.0,14.9,68,0,0,0,230,2.1,1
1,9,23,20.0,1.0,28,0,0,0,230,3.1,1
1,9,24,19.0,2.0,32,0,0,0,0,0.0,1
1,10,1,18.0,3.0,37,0,0,0,0,0.0,0
1,10,2,17.0,4.0,42,0,0,0,0,0.0,0
1,10,3,16.0,4.0,45,0,0,0,0,0.0,0
1,10,4,16.0,4.0,45,0,0,0,0,0.0,0
1,10,5,15.0,4.0,48,0,0,0,290,1.0,1
1,10,6,15.2,4.3,48,37,14,36,290,1.0,1
1,10,7,19.0,4.0,37,221,307,128,280,1.0,1
1,10,8,19.9,6.3,41,455,593,160,280,2.8,1
1,10,9,20.8,7.2,41,681,764,167,240,4.6,1
1,10,10,22.9,7.6,37,869,870,160,240,3.1,1
1,10,11,25.0,8.0,34,1004,955,128,320,1.5,1
1,10,12,24.8,8.3,35,1075,958,145,320,1.5,1
1,10,13,24.0,8.0,36,1077,957,146,70,5.7,2
1,10,14,25.0,7.0,32,1010,953,131,80,6.2,2
1,10,15,25.0,9.5,37,874,879,150,80,5.1,2
1,10,16,25.0,11.0,41,688,809,135,80,5.1,2
1,10,17,25.0,10.0,39,465,626,145,40,4.1,3
1,10,18,24.0,9.0,38,232,383,111,10,3.1,3
1,10,19,23.0,14.0,57,45,32,41,30,8.2,3
1,10,20,23.0,13.0,53,0,0,0,10,8.2,3
1,10,21,22.8,13.1,54,0,0,0,10,8.2,4
1,10,22,23.0,15.0,61,0,0,0,10,5.1,3
1,10,23,22.0,16.0,69,0,0,0,300,1.0,2
1,10,24,21.0,15.0,69,0,0,0,0,0.0,2
1,11,1,20.0,15.0,73,0,0,0,0,0.0,1
1,11,2,19.0,14.0,73,0,0,0,0,0.0,1
1,11,3,19.2,14.0,72,0,0,0,0,0.0,0
1,11,4,17.0,13.0,77,0,0,0,0,0.0,0
1,11,5,17.0,13.0,77,0,0,0,300,1.0,0
1,11,6,18.0,12.0,68,35,9,34,300,1.5,0
1,11,7,20.0,12.0,60,216,338,114,270,2.1,1
1,11,8,23.0,11.0,47,449,556,173,260,2.1,1
1,11,9,23.0,11.2,47,674,798,139,260,2.1,1
1,11,10,26.0,10.1,37,864,860,164,260,1.8,1
1,11,11,29.0,6.0,23,1006,963,123,220,1.5,1
1,11,12,28.0,7.7,28,1075,961,143,240,3.1,1
1,11,13,31.0,3.0,17,1086,979,133,260,3.1,1
1,11,14,30.0,10.0,29,1008,948,134,60,5.1,1
1,11,15,29.6,10.1,30,877,889,145,60,6.2,1
1,11,16,29.0,11.0,33,691,821,130,60,6.2,1
1,11,17,27.0,14.0,45,466,656,131,60,3.1,1
1,11,18,26.0,14.0,48,233,368,116,30,5.1,1
1,11,19,25.0,15.0,54,46,36,41,30,3.6,0
1,11,20,24.0,16.0,61,0,0,0,30,2.1,0
1,11,21,24.0,16.2,62,0,0,0,30,2.1,0
1,11,22,24.0,18.0,69,0,0,0,10,4.6,0
1,11,23,23.0,19.0,78,0,0,0,350,1.0,0
1,11,24,22.5,17.2,72,0,0,0,350,0.5,0
1,12,1,22.0,19.0,83,0,0,0,0,0.0,0
1,12,2,21.0,18.0,83,0,0,0,0,0.0,0
1,12,3,20.9,18.1,84,0,0,0,0,0.0,0
1,12,4,19.0,17.0,88,0,0,0,0,0.0,0
1,12,5,18.0,16.0,88,0,0,0,310,1.0,1
1,12,6,18.0,16.3,90,33,3,33,310,1.0,1
1,12,7,21.0,14.0,64,212,330,114,310,2.1,1
1,12,8,24.0,14.0,54,444,545,175,300,2.1,1
1,12,9,24.4,14.8,55,667,783,144,300,2.1,1
1,12,10,29.2,11.3,33,861,886,141,300,2.6,1
1,12,11,34.0,2.0,13,1011,967,125,360,3.1,0
1,12,12,34.5,0.5,12,1086,971,145,360,3.1,0
1,12,13,34.0,8.0,20,1078,961,143,40,6.2,0
1,12,14,34.1,8.2,20,1011,956,129,40,6.2,1
1,12,15,34.2,11.0,24,876,912,125,20,6.2,1
1,12,16,34.2,10.1,23,692,802,144,20,6.2,1
1,12,17,33.3,9.1,23,469,643,141,20,6.2,1
1,12,18,32.4,8.0,22,235,396,109,20,6.2,2
1,12,19,31.4,6.9,22,46,50,40,20,6.2,2
1,12,20,30.5,5.6,21,0,0,0,20,6.2,2
1,12,21,29.6,4.3,20,0,0,0,10,6.2,2
1,12,22,25.8,7.2,31,0,0,0,10,7.5,3
1,12,23,22.0,18.0,78,0,0,0,170,8.8,3
1,12,24,21.5,11.8,54,0,0,0,170,10.6,4
1,13,1,21.0,17.0,78,0,0,0,180,12.4,4
1,13,2,21.0,17.0,78,0,0,0,170,12.4,5
1,13,3,21.0,16.9,77,0,0,0,170,12.3,5
1,13,4,21.0,16.0,73,0,0,0,170,10.3,4
1,13,5,21.0,16.0,73,0,0,0,180,7.2,3
1,13,6,21.0,15.7,72,32,0,32,180,7.2,2
1,13,7,22.0,16.0,69,206,308,115,170,7.2,3
1,13,8,22.0,16.0,69,425,518,171,170,7.2,4
1,13,9,21.7,15.9,70,623,638,198,170,7.2,5
1,13,10,22.3,16.0,67,760,556,309,170,5.6,6
1,13,11,23.0,16.0,65,815,453,401,170,4.1,7
1,13,12,22.8,16.1,66,777,277,509,170,4.1,7
1,13,13,25.0,15.0,54,1041,670,390,130,5.1,4
1,13,14,24.0,14.0,54,979,856,190,140,4.1,4
1,13,15,24.0,14.2,54,751,504,336,140,4.1,6
1,13,16,23.0,15.0,61,325,66,280,140,4.1,9
1,13,17,23.0,15.0,61,205,10,200,120,4.1,9
1,13,18,22.0,15.0,64,97,0,97,80,2.6,9
1,13,19,22.0,15.0,64,24,0,24,100,1.5,9
1,13,20,22.0,15.0,64,0,0,0,90,1.5,9
1,13,21,21.8,15.3,67,0,0,0,90,1.5,9
1,13,22,21.0,14.0,64,0,0,0,90,1.0,7
1,13,23,21.0,15.0,69,0,0,0,60,1.0,6
1,13,24,21.0,14.0,64,0,0,0,60,1.0,5
1,14,1,20.0,14.0,68,0,0,0,0,0.0,4
1,14,2,20.0,15.0,73,0,0,0,0,0.0,2
1,14,3,20.0,14.5,71,0,0,0,0,0.0,1
1,14,4,19.0,15.0,78,0,0,0,0,0.0,1
1,14,5,19.0,15.0,78,0,0,0,0,0.0,1
1,14,6,19.4,14.9,75,30,0,30,0,0.0,1
1,14,7,22.0,15.0,64,206,319,112,50,1.0,2
1,14,8,23.0,14.0,57,434,570,155,60,3.1,3
1,14,9,22.5,14.4,60,648,744,153,60,3.1,4
1,14,10,23.7,15.0,58,813,758,199,60,3.6,5
1,14,11,25.0,16.0,57,904,618,340,80,4.1,5
1,14,12,24.9,16.0,58,912,490,438,80,4.1,6
1,14,13,25.0,16.0,57,997,625,390,60,6.2,5
1,14,14,25.0,16.0,57,936,713,279,40,6.2,5
1,14,15,25.5,15.7,55,749,517,324,40,6.2,6
1,14,16,24.0,17.0,65,590,513,240,40,6.2,6
1,14,17,24.0,17.0,65,340,209,233,30,5.1,7
1,14,18,23.0,17.0,69,186,75,163,40,5.7,7
1,14,19,23.0,17.6,71,38,0,38,40,4.4,6
1,14,20,23.0,18.0,73,0,0,0,40,3.1,6
1,14,21,22.5,17.9,75,0,0,0,40,3.1,9
1,14,22,23.0,19.0,78,0,0,0,40,3.1,7
1,14,23,23.5,18.5,74,0,0,0,40,2.3,7
1,14,24,24.0,19.0,74,0,0,0,20,1.5,8
1,15,1,23.0,19.0,78,0,0,0,10,3.6,8
1,15,2,23.0,20.0,83,0,0,0,340,2.6,8
1,15,3,23.3,19.6,80,0,0,0,340,2.6,9
1,15,4,23.0,19.0,78,0,0,0,0,0.0,9
1,15,5,22.0,19.0,83,0,0,0,0,0.0,8
1,15,6,22.0,18.8,82,18,0,18,0,0.0,8
1,15,7,24.0,19.0,74,134,66,115,310,2.1,8
1,15,8,25.0,18.0,65,303,167,221,10,4.1,8
1,15,9,25.0,18.4,67,481,208,343,10,4.1,7
1,15,10,26.5,18.9,63,619,188,468,10,6.7,7
1,15,11,28.0,20.0,62,717,316,429,40,9.3,7
1,15,12,27.9,19.9,62,771,318,464,40,9.3,7
1,15,13,28.0,21.0,66,773,315,467,30,10.3,7
1,15,14,28.0,21.0,66,726,315,436,30,12.4,7
1,15,15,28.0,20.8,65,632,186,479,30,12.3,7
1,15,16,28.0,20.9,65,499,139,404,30,12.3,7
1,15,17,25.0,21.0,78,306,138,235,30,10.3,8
1,15,18,24.0,21.0,83,134,35,123,30,6.9,8
1,15,19,23.0,21.0,89,22,0,22,30,3.4,9
1,15,20,22.0,21.0,94,0,0,0,0,0.0,9
1,15,21,22.0,21.1,95,0,0,0,0,0.0,10
1,15,22,22.0,20.0,88,0,0,0,40,2.1,10
1,15,23,23.0,21.0,89,0,0,0,310,1.0,10
1,15,24,23.0,21.0,89,0,0,0,360,1.0,10
1,16,1,22.0,20.0,88,0,0,0,0,0.0,10
1,16,2,22.0,21.0,94,0,0,0,320,1.0,10
1,16,3,22.1,21.1,94,0,0,0,350,1.0,10
1,16,4,22.0,21.0,94,0,0,0,0,0.0,10
1,16,5,22.0,21.0,94,0,0,0,10,3.1,10
1,16,6,21.8,20.9,95,7,0,7,10,3.1,10
1,16,7,22.0,20.0,88,50,0,50,350,1.0,10
1,16,8,22.0,20.0,88,107,0,107,10,1.0,10
1,16,9,23.0,21.0,89,163,0,163,360,3.1,10
1,16,10,23.5,20.7,84,210,4,207,360,3.6,10
1,16,11,24.0,21.0,83,244,5,239,340,4.1,10
1,16,12,23.9,21.1,84,262,6,256,340,4.1,10
1,16,13,25.0,21.0,78,263,6,257,360,4.1,10
1,16,14,25.0,20.0,74,248,5,243,350,5.1,10
1,16,15,25.5,20.3,73,216,4,212,350,5.1,10
1,16,16,25.5,20.3,73,170,0,170,350,5.1,10
1,16,17,25.0,22.0,83,115,0,115,10,3.1,10
1,16,18,25.0,22.0,83,57,0,57,10,4.1,10
1,16,19,25.0,22.0,83,11,0,11,360,3.1,10
1,16,20,25.0,21.0,78,0,0,0,340,1.0,10
1,16,21,24.9,21.4,81,0,0,0,340,1.0,10
1,16,22,20.0,18.0,88,0,0,0,170,10.3,10
1,16,23,18.0,17.0,94,0,0,0,180,9.3,10
1,16,24,18.0,17.0,94,0,0,0,180,6.2,10
1,17,1,18.0,17.0,94,0,0,0,180,5.1,10
1,17,2,18.0,16.0,88,0,0,0,180,5.1,10
1,17,3,19.0,17.0,88,0,0,0,180,5.1,10
1,17,4,18.0,16.0,88,0,0,0,160,6.2,10
1,17,5,19.0,16.0,83,0,0,0,170,5.1,10
1,17,6,19.0,15.8,82,7,0,7,170,5.1,10
1,17,7,17.0,15.0,88,70,0,70,190,7.2,10
1,17,8,18.0,16.0,88,193,14,186,180,7.2,9
1,17,9,18.0,16.3,90,350,41,323,180,7.2,9
1,17,10,18.5,16.3,87,452,80,387,180,6.9,9
1,17,11,19.0,16.0,83,526,98,436,180,6.7,9
1,17,12,19.0,16.2,84,565,98,470,180,6.7,9
1,17,13,19.0,16.0,83,479,63,417,180,10.3,9
1,17,14,19.0,15.0,78,356,17,340,180,9.3,10
1,17,15,19.3,15.4,78,217,2,215,180,9.3,10
1,17,16,20.0,15.0,73,171,0,171,180,8.7,10
1,17,17,19.0,15.0,78,116,0,116,180,8.8,10
1,17,18,18.0,14.5,80,58,0,58,180,7.6,10
1,17,19,17.0,14.3,84,11,0,11,180,6.3,10
1,17,20,16.0,14.0,88,0,0,0,180,5.1,10
1,17,21,16.2,13.7,85,0,0,0,180,5.1,10
1,17,22,17.0,15.0,88,0,0,0,200,6.2,10
1,17,23,17.0,16.0,94,0,0,0,180,7.2,10
1,17,24,16.5,13.7,84,0,0,0,180,7.7,10
1,18,1,16.0,15.0,94,0,0,0,190,8.2,10
1,18,2,16.0,14.0,88,0,0,0,200,5.7,10
1,18,3,15.9,13.7,87,0,0,0,200,5.1,10
1,18,4,15.0,14.0,94,0,0,0,200,5.1,10
1,18,5,16.0,12.0,77,0,0,0,200,7.2,10
1,18,6,15.6,14.1,90,6,0,6,200,6.7,10
1,18,7,15.3,14.1,92,49,0,49,200,6.1,10
1,18,8,14.9,14.1,95,106,0,106,200,5.6,10
1,18,9,14.6,14.1,97,163,0,163,250,5.1,10
1,18,10,14.8,14.1,95,211,3,209,250,4.1,10
1,18,11,15.0,14.0,94,245,4,241,290,3.1,10
1,18,12,15.2,13.9,92,264,5,259,290,3.1,10
1,18,13,19.0,16.0,83,478,13,466,290,2.6,9
1,18,14,21.0,14.0,64,610,190,435,320,1.0,8
1,18,15,20.6,14.2,67,638,268,418,300,2.1,7
1,18,16,20.6,10.6,53,507,277,318,300,2.1,7
1,18,17,22.0,13.0,57,391,372,201,40,4.1,6
1,18,18,21.0,13.0,60,211,296,118,30,6.7,5
1,18,19,20.0,13.0,64,41,19,39,20,3.6,4
1,18,20,20.0,13.0,64,0,0,0,30,3.1,3
1,18,21,20.0,14.0,68,0,0,0,30,3.1,2
1,18,22,20.0,15.0,73,0,0,0,360,4.1,2
1,18,23,20.0,15.0,73,0,0,0,360,4.1,2
1,18,24,19.0,15.0,78,0,0,0,300,1.0,2
1,19,1,18.0,14.0,77,0,0,0,0,0.0,2
1,19,2,18.0,15.0,83,0,0,0,0,0.0,1
1,19,3,17.9,14.7,82,0,0,0,0,0.0,1
1,19,4,17.0,15.0,88,0,0,0,0,0.0,1
1,19,5,16.0,14.0,88,0,0,0,0,0.0,1
1,19,6,15.9,13.9,88,25,0,25,0,0.0,1
1,19,7,18.0,15.0,83,191,289,111,310,0.5,1
1,19,8,20.0,15.0,73,422,524,172,300,2.1,1
1,19,9,20.0,15.1,73,648,774,142,300,2.1,1
1,19,10,22.4,12.6,54,843,876,141,300,2.4,1
1,19,11,24.7,9.6,38,986,946,129,300,2.8,1
1,19,12,27.1,5.9,26,1068,967,136,250,3.1,1
1,19,13,28.0,7.0,26,1072,963,140,230,2.6,1
1,19,14,29.0,9.0,29,1005,951,131,240,3.1,1
1,19,15,29.4,9.1,28,876,892,142,240,3.1,1
1,19,16,28.0,12.0,37,688,817,131,240,4.1,1
1,19,17,27.0,11.0,37,466,665,127,40,4.1,1
1,19,18,26.0,13.0,45,231,368,115,40,3.1,1
1,19,19,24.0,15.0,57,43,30,39,80,2.6,0
1,19,20,23.0,17.0,69,0,0,0,90,3.1,0
1,19,21,23.0,16.5,67,0,0,0,90,3.1,0
1,19,22,22.0,17.0,73,0,0,0,120,0.5,0
1,19,23,22.0,17.0,73,0,0,0,0,0.0,1
1,19,24,22.0,17.0,73,0,0,0,0,0.0,1
1,20,1,20.0,15.0,73,0,0,0,0,0.0,2
1,20,2,20.0,18.0,88,0,0,0,0,0.0,2
1,20,3,20.2,17.7,86,0,0,0,0,0.0,2
1,20,4,20.0,18.0,88,0,0,0,0,0.0,1
1,20,5,20.0,18.0,88,0,0,0,0,0.0,5
1,20,6,20.0,17.9,88,23,0,23,0,0.0,4
1,20,7,23.0,18.0,73,182,185,130,120,2.1,4
1,20,8,23.0,16.0,65,399,476,174,120,2.6,5
1,20,9,22.0,16.6,71,604,630,193,100,1.5,5
1,20,10,22.5,16.6,69,745,555,302,100,2.3,6
1,20,11,23.0,15.0,61,806,457,393,60,3.1,7
1,20,12,23.0,16.5,67,770,276,504,100,2.1,7
1,20,13,23.0,17.0,69,774,323,461,70,3.1,7
1,20,14,24.0,16.0,61,729,291,461,70,3.6,7
1,20,15,24.1,15.4,58,636,234,444,60,4.1,7
1,20,16,23.0,16.5,67,501,223,349,100,2.1,7
1,20,17,23.0,15.0,61,324,156,244,60,4.1,8
1,20,18,22.5,16.4,68,152,72,129,60,3.6,8
